FileName: C:\TRAWLS~2\GP048F.TXT
Local Time: Mon Aug 15 07:01:29 2011

Ship: Aug 15, 2011 Trip: GP048F Tow: 02
Comments: zone 12 ouest banc des orphelins
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110815  100318  48  16.8973 N  63  47.9339 W   7.5        2.2       13.5       92.6       18.0 
110815  100319  48  16.8955 N  63  47.9322 W   7.5        2.2       13.5       92.6       18.0 
110815  100320  48  16.8938 N  63  47.9306 W   7.5        2.2       13.5       92.6       18.0 
110815  100321  48  16.8920 N  63  47.9290 W   7.5        2.2       13.5       92.6       18.0 
110815  100322  48  16.8902 N  63  47.9273 W   7.5        2.2       13.5       92.6       18.0 
110815  100323  48  16.8884 N  63  47.9257 W   7.5        2.2       13.5       92.6       18.0 
110815  100324  48  16.8866 N  63  47.9240 W   7.5        2.2       13.5       92.6       18.0 
110815  100325  48  16.8848 N  63  47.9223 W   7.5        2.2       13.5       92.6       18.0 
110815  100326  48  16.8830 N  63  47.9207 W   7.5        2.2       13.5       92.6       18.0 
110815  100327  48  16.8812 N  63  47.9191 W   7.5        2.2       13.5       92.6       18.0 
110815  100328  48  16.8794 N  63  47.9174 W   7.5        2.2       13.5       92.6       18.0 
110815  100329  48  16.8777 N  63  47.9157 W   7.5        2.2       13.5       92.6       18.0 
110815  100330  48  16.8759 N  63  47.9140 W   7.5        2.2       13.5       92.6       18.0 
110815  100331  48  16.8741 N  63  47.9123 W   7.5        2.2       13.5       92.6       18.0 
110815  100332  48  16.8724 N  63  47.9106 W   7.5        2.2       13.5       92.6       18.0 
110815  100333  48  16.8706 N  63  47.9090 W   7.5        2.2       13.5       92.6       18.0 
110815  100334  48  16.8688 N  63  47.9073 W   7.5        2.2       13.5       92.6       18.0 
110815  100335  48  16.8671 N  63  47.9057 W   7.5        2.2       13.5       92.6       18.0 
110815  100336  48  16.8653 N  63  47.9040 W   7.5        2.2       13.5       92.6       18.0 
110815  100337  48  16.8635 N  63  47.9023 W   7.5        2.2       13.5       92.6       18.0 
110815  100338  48  16.8618 N  63  47.9006 W   7.5        2.2       13.5       92.6       18.0 
110815  100339  48  16.8600 N  63  47.8990 W   7.5        2.2       13.5       92.6       18.0 
110815  100340  48  16.8583 N  63  47.8972 W   7.5        2.2       13.5       92.6       18.0 
110815  100341  48  16.8565 N  63  47.8956 W   7.5        2.2       13.5       92.6       18.0 
110815  100342  48  16.8548 N  63  47.8939 W   7.5        2.2       13.5       92.6       18.0 
110815  100343  48  16.8530 N  63  47.8921 W   7.5        2.2       13.5       92.6       18.0 
110815  100344  48  16.8512 N  63  47.8904 W   7.5        2.2       13.5       92.6       18.0 
110815  100345  48  16.8495 N  63  47.8887 W   7.5        2.2       13.5       92.6       18.0 
110815  100346  48  16.8477 N  63  47.8870 W   7.5        2.2       13.5       92.6       18.0 
110815  100347  48  16.8459 N  63  47.8853 W   7.5        2.2       13.5       92.6       18.0 
110815  100348  48  16.8442 N  63  47.8836 W   7.5        2.2       13.5       92.6       18.0 
110815  100349  48  16.8425 N  63  47.8819 W   7.5        2.2       13.5       92.6      462.7*
110815  100350  48  16.8408 N  63  47.8802 W   7.5        2.2       13.5       92.6      462.7 
110815  100351  48  16.8390 N  63  47.8784 W   7.4        2.2       13.5       92.6      462.7 
110815  100352  48  16.8372 N  63  47.8767 W   7.4        2.2       13.5       92.6      462.7 
110815  100353  48  16.8354 N  63  47.8750 W   7.4        2.2       13.5       92.6      462.7 
110815  100354  48  16.8337 N  63  47.8732 W   7.4        2.2       13.5       92.6      462.7 
110815  100355  48  16.8319 N  63  47.8715 W   7.4        2.2       13.5       92.6      462.7 
110815  100356  48  16.8302 N  63  47.8697 W   7.4        2.2       13.5       92.6      462.7 
110815  100357  48  16.8284 N  63  47.8680 W   7.4        2.2       13.5       92.6      462.7 
110815  100358  48  16.8267 N  63  47.8662 W   7.4        2.2       13.5       92.6      462.7 
110815  100359  48  16.8250 N  63  47.8645 W   7.4        2.2       13.5       92.6      462.7 
110815  100400  48  16.8232 N  63  47.8628 W   7.4        2.2       13.5       92.6      462.7 
110815  100401  48  16.8216 N  63  47.8611 W   7.4        2.2       13.5       92.6      462.7 
110815  100402  48  16.8198 N  63  47.8594 W   7.4        2.2       13.5       92.6      462.7 
110815  100403  48  16.8181 N  63  47.8577 W   7.4        2.2       13.5       92.6      462.7 
110815  100404  48  16.8163 N  63  47.8560 W   7.4        2.2       13.5       92.6      462.7 
110815  100405  48  16.8146 N  63  47.8543 W   7.3        2.2       13.5       92.6      462.7 
110815  100406  48  16.8129 N  63  47.8527 W   7.3        2.2       13.5       92.6      462.7 
110815  100407  48  16.8112 N  63  47.8510 W   7.3        2.2       13.5       92.6      462.7 
110815  100408  48  16.8095 N  63  47.8493 W   7.3        2.2       13.5       92.6      462.7 
110815  100409  48  16.8077 N  63  47.8477 W   7.3        2.2       13.5       92.6      462.7 
110815  100410  48  16.8060 N  63  47.8460 W   7.3        2.2       13.5       92.6      462.7 
110815  100411  48  16.8043 N  63  47.8443 W   7.3        2.2       13.5       92.6      462.7 
110815  100412  48  16.8026 N  63  47.8427 W   7.3        2.2       13.5       92.6      462.7 
110815  100413  48  16.8009 N  63  47.8411 W   7.3        2.2       13.5       92.6      462.7 
110815  100414  48  16.7992 N  63  47.8394 W   7.3        2.2       13.5       92.6      462.7 
110815  100415  48  16.7975 N  63  47.8378 W   7.3        2.2       13.5       92.6      462.7 
110815  100416  48  16.7958 N  63  47.8362 W   7.3        2.2       13.5       92.6      462.7 
110815  100417  48  16.7940 N  63  47.8346 W   7.3        2.2       13.5       92.6      462.7 
110815  100418  48  16.7923 N  63  47.8330 W   7.2        2.2       13.5       92.6      462.7 
110815  100419  48  16.7906 N  63  47.8315 W   7.2        2.2       13.5       92.6      462.7 
110815  100420  48  16.7889 N  63  47.8300 W   7.2        2.2       13.5       92.6      462.7 
110815  100421  48  16.7872 N  63  47.8284 W   7.2        2.2       13.5       92.6      462.7 
110815  100422  48  16.7855 N  63  47.8269 W   7.2        2.2       13.5       92.6      462.7 
110815  100423  48  16.7838 N  63  47.8254 W   7.2        2.2       13.5       92.6      462.7 
110815  100424  48  16.7821 N  63  47.8238 W   7.2        2.2       13.5       92.6      462.7 
110815  100425  48  16.7804 N  63  47.8223 W   7.2        2.2       13.5       92.6      462.7 
110815  100426  48  16.7787 N  63  47.8209 W   7.2        2.2       13.5       92.6       57.2*
110815  100427  48  16.7770 N  63  47.8194 W   7.1        2.2       13.5       92.6       57.2 
110815  100428  48  16.7753 N  63  47.8179 W   7.1        2.2       13.5       92.6       57.2 
110815  100429  48  16.7736 N  63  47.8165 W   7.1        2.2       13.5       92.6       57.2 
110815  100430  48  16.7718 N  63  47.8150 W   7.1        2.2       13.5       92.6       57.2 
110815  100431  48  16.7701 N  63  47.8136 W   7.1        2.2       13.5       92.6       57.2 
110815  100432  48  16.7684 N  63  47.8121 W   7.1        2.2       13.5       88.3*      62.9*
110815  100433  48  16.7667 N  63  47.8106 W   7.1        2.2       13.5       88.3       62.9 
110815  100434  48  16.7649 N  63  47.8091 W   7.1        2.2       13.5       88.3       62.9 
110815  100435  48  16.7632 N  63  47.8077 W   7.1        2.2       13.5       88.3       62.9 
110815  100436  48  16.7615 N  63  47.8063 W   7.1        2.2       13.5       88.3       62.9 
110815  100437  48  16.7597 N  63  47.8049 W   7.1        2.2       13.5       88.3       80.9*
110815  100438  48  16.7580 N  63  47.8034 W   7.1        2.2       13.5       88.3       80.9 
110815  100439  48  16.7563 N  63  47.8020 W   7.1        2.2       13.5      149.2*      80.9 
110815  100440  48  16.7545 N  63  47.8006 W   7.1        2.2       13.5      149.2       80.9 
110815  100441  48  16.7528 N  63  47.7992 W   7.1        2.2       13.5      149.2       80.9 
110815  100442  48  16.7510 N  63  47.7978 W   7.1        2.2       13.5      149.2       80.9 
110815  100443  48  16.7493 N  63  47.7964 W   7.1        2.2       13.5      149.2       80.9 
110815  100444  48  16.7475 N  63  47.7949 W   7.1        2.2       13.5      149.2       80.9 
110815  100445  48  16.7458 N  63  47.7935 W   7.1        2.2       13.5      149.2       80.9 
110815  100446  48  16.7441 N  63  47.7921 W   7.1        2.2       13.5      149.2       80.9 
110815  100447  48  16.7423 N  63  47.7907 W   7.1        2.2       13.5      149.2       80.9 
110815  100448  48  16.7406 N  63  47.7893 W   7.1        2.2       13.5      149.2       80.9 
110815  100449  48  16.7389 N  63  47.7879 W   7.1        2.2       13.5      149.2       80.9 
110815  100450  48  16.7372 N  63  47.7866 W   7.1        2.2       13.5      149.2       80.9 
110815  100451  48  16.7356 N  63  47.7852 W   7.1        2.2       13.5      149.2       80.9 
110815  100452  48  16.7340 N  63  47.7840 W   7.0        2.2       13.5      149.2       80.9 
110815  100453  48  16.7324 N  63  47.7827 W   6.9        2.2       13.5      149.2       80.9 
110815  100454  48  16.7308 N  63  47.7815 W   6.9        2.2       13.5      149.2       80.9 
110815  100455  48  16.7292 N  63  47.7803 W   6.8        2.2       13.5      149.2       80.9 
110815  100456  48  16.7278 N  63  47.7791 W   6.7        2.2       13.5      149.2       80.9 
110815  100457  48  16.7264 N  63  47.7780 W   6.6        2.2       13.5      149.2       80.9 
110815  100458  48  16.7251 N  63  47.7770 W   6.4        2.2       13.5      149.2      656.7*
110815  100459  48  16.7238 N  63  47.7760 W   6.2        2.2       13.5      149.2      656.7 
110815  100500  48  16.7226 N  63  47.7751 W   6.0        2.2       13.5      149.2      656.7 
110815  100501  48  16.7214 N  63  47.7742 W   5.8        2.2       13.5      149.2      656.7 
110815  100502  48  16.7203 N  63  47.7734 W   5.6        2.2       13.5      149.2      656.7 
110815  100503  48  16.7193 N  63  47.7726 W   5.4        2.2       13.5      149.2      656.7 
110815  100504  48  16.7183 N  63  47.7719 W   5.2        2.2       13.5      149.2       69.1*
110815  100505  48  16.7173 N  63  47.7712 W   5.0        2.2       13.5      149.2       69.1 
110815  100506  48  16.7163 N  63  47.7705 W   4.9        2.2       13.5      149.2       69.1 
110815  100507  48  16.7155 N  63  47.7699 W   4.7        2.2       13.5      149.2       69.1 
110815  100508  48  16.7147 N  63  47.7694 W   4.5        2.2       13.5      149.2       69.1 
110815  100509  48  16.7138 N  63  47.7688 W   4.4        2.2       13.5      149.2       59.4*
110815  100510  48  16.7130 N  63  47.7683 W   4.2        2.2       13.5      149.2       59.4 
110815  100511  48  16.7122 N  63  47.7678 W   4.1        2.2*      13.5      149.2       59.4 
110815  100512  48  16.7114 N  63  47.7672 W   3.9        2.2       13.5      149.2       59.4 
110815  100513  48  16.7107 N  63  47.7667 W   3.8        2.2       13.5      149.2       59.4 
110815  100514  48  16.7100 N  63  47.7663 W   3.7        2.2       13.5      149.2       59.4 
110815  100515  48  16.7092 N  63  47.7658 W   3.6        2.2       13.5      149.2       79.6*
110815  100516  48  16.7085 N  63  47.7653 W   3.5        2.2       13.5      149.2       79.6 
110815  100517  48  16.7078 N  63  47.7649 W   3.4        2.2       13.5      149.2       79.6 
110815  100518  48  16.7071 N  63  47.7645 W   3.3        2.2       13.5      149.2       79.6 
110815  100519  48  16.7064 N  63  47.7640 W   3.3        2.2       13.5      149.2       79.6 
110815  100520  48  16.7057 N  63  47.7635 W   3.2        2.2       13.5      149.2       61.6*
110815  100521  48  16.7050 N  63  47.7632 W   3.1        2.2       13.5      149.2       61.6 
110815  100522  48  16.7043 N  63  47.7627 W   3.0        2.2       13.5      149.2       61.6 
110815  100523  48  16.7036 N  63  47.7623 W   3.0        2.2       13.5      149.2       61.6 
110815  100524  48  16.7030 N  63  47.7618 W   2.9        2.2*      13.5        9.1*      61.6 
110815  100525  48  16.7023 N  63  47.7614 W   2.9        2.2       13.5        9.1       61.6 
110815  100526  48  16.7016 N  63  47.7610 W   2.9        2.2       13.5        9.1       79.2*
110815  100527  48  16.7010 N  63  47.7606 W   2.8        2.2       13.5        9.1       79.2 
110815  100528  48  16.7003 N  63  47.7602 W   2.8        2.2       13.5        9.1       79.2 
110815  100529  48  16.6996 N  63  47.7598 W   2.8        2.2       13.5        5.1*      79.2 
110815  100530  48  16.6990 N  63  47.7594 W   2.7        2.2       13.5        5.1       79.2 
110815  100531  48  16.6984 N  63  47.7591 W   2.7        2.2       13.5        5.1       67.7*
110815  100532  48  16.6977 N  63  47.7587 W   2.7        2.2       13.5        5.1       67.7 
110815  100533  48  16.6971 N  63  47.7584 W   2.7        2.2       13.5        5.1       67.7 
110815  100534  48  16.6965 N  63  47.7580 W   2.6        2.2       13.5        6.8*      67.7 
110815  100535  48  16.6959 N  63  47.7576 W   2.6        2.2       13.5        6.8       67.7 
110815  100536  48  16.6952 N  63  47.7572 W   2.6        2.2       13.5        6.8       76.1*
110815  100537  48  16.6945 N  63  47.7569 W   2.6        2.2       13.5        6.8       76.1 
110815  100538  48  16.6939 N  63  47.7565 W   2.6        2.2       13.5        6.8       76.1 
110815  100539  48  16.6933 N  63  47.7561 W   2.6        2.2       13.5        6.8       76.1 
110815  100540  48  16.6926 N  63  47.7557 W   2.6        2.2       13.5        7.1*      76.1 
110815  100541  48  16.6919 N  63  47.7553 W   2.6        2.2       13.5        7.1       76.1 
110815  100542  48  16.6913 N  63  47.7549 W   2.6        2.2       13.5        7.1       87.5*
110815  100543  48  16.6907 N  63  47.7546 W   2.5        2.2       13.5        7.1       87.5 
110815  100544  48  16.6901 N  63  47.7542 W   2.5        2.2       13.5        7.1       87.5 
110815  100545  48  16.6894 N  63  47.7538 W   2.5        2.2       13.5        7.4*      87.5 
110815  100546  48  16.6888 N  63  47.7535 W   2.5        2.2       13.5        7.4       87.5 
110815  100547  48  16.6882 N  63  47.7531 W   2.5        2.2       13.5        7.4       71.7*
110815  100548  48  16.6876 N  63  47.7527 W   2.5        2.2       13.5        7.4       71.7 
110815  100549  48  16.6869 N  63  47.7523 W   2.5        2.2       13.5        7.4       71.7 
110815  100550  48  16.6863 N  63  47.7520 W   2.5        2.2*      13.5        4.8*      71.7 
110815  100551  48  16.6857 N  63  47.7516 W   2.5        2.2       13.5        4.8       71.7 
110815  100552  48  16.6851 N  63  47.7512 W   2.5        2.2       13.5        4.8       71.7 
110815  100553  48  16.6844 N  63  47.7509 W   2.5        2.2       13.5        4.8       82.7*
