[NOTUS TEXTFILE V3.1]
File Created: 13-Jul-2019 13:38:00
Tow Date: 13-Jul-2019 8:27:04


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,11:25:45,---,---,---,---,---,
C24S,11:26:29,---,---,---,---,---,
C24S,11:27:13,---,---,---,---,---,
C24S,11:27:58,---,---,---,---,---,
C24S,11:28:42,---,---,---,---,---,
C24S,11:29:26,---,---,---,---,---,
C24S,11:30:10,---,---,---,---,---,
C24S,11:30:54,---,---,---,---,---,
C24S,11:31:38,---,---,---,---,---,
C24S,11:32:22,---,---,---,---,---,
C24S,11:33:06,---,---,---,---,---,
C24S,11:33:50,---,---,---,---,---,
C24S,11:34:34,---,---,---,---,---,
C24S,11:35:18,---,---,---,---,---,
C24S,11:36:02,---,---,---,---,---,
C24S,11:36:46,---,---,---,---,---,
C24S,11:37:30,---,---,---,---,---,
C24S,11:38:15,---,---,---,---,---,
C24S,11:38:59,---,---,---,---,---,
C24S,11:39:43,---,---,---,---,---,
C24S,11:40:27,---,---,---,---,---,
C24S,11:41:11,---,---,---,---,---,
C24S,11:41:55,---,---,---,---,---,
C24S,11:42:39,---,---,---,---,---,
C24S,11:43:23,---,---,---,---,---,
C24S,11:44:07,---,---,---,---,---,
C24S,11:44:51,---,---,---,---,---,
C24S,11:45:35,---,---,---,---,---,
C24S,11:46:19,---,---,---,---,---,
C24S,11:47:03,---,---,---,---,---,
C24S,11:47:47,---,---,---,---,---,
C24S,11:48:32,---,---,---,---,---,
C24S,11:49:16,---,---,---,---,---,
C24S,11:50:00,---,---,---,---,---,
C24S,11:50:44,---,---,---,---,---,
C24S,11:51:28,---,---,---,---,---,
C24S,11:52:12,---,---,---,---,---,
C24S,11:52:56,---,---,---,---,---,
C24S,11:53:40,---,---,---,---,---,
C24S,11:54:24,---,---,---,---,---,
C24S,11:55:08,---,---,---,---,---,
C24S,11:55:52,---,---,---,---,---,
C24S,11:56:36,---,---,---,---,---,
C24S,11:57:20,---,---,---,---,---,
C24S,11:58:05,---,---,---,---,---,
C24S,11:58:49,---,---,---,---,---,
C24S,11:59:33,---,---,---,---,---,
C24S,12:00:17,---,---,---,---,---,
C24S,12:01:01,---,---,---,---,---,
C24S,12:01:45,---,---,---,---,---,
C24S,12:02:29,---,---,---,---,---,
C24S,12:03:13,---,---,---,---,---,
C24S,12:03:57,---,---,---,---,---,
C24S,12:04:41,---,---,---,---,---,
C24S,12:05:25,---,---,---,---,---,
C24S,12:06:09,---,---,---,---,---,
C24S,12:06:53,---,---,---,---,---,
C24S,12:07:37,---,---,---,---,---,
C24S,12:08:22,---,---,---,---,---,
C24S,12:09:06,---,---,---,---,---,
C24S,12:09:50,---,---,---,---,---,
C24S,12:10:34,---,---,---,---,---,
C24S,12:11:18,---,---,---,---,---,
C24S,12:12:02,---,---,---,---,---,
C24S,12:12:46,---,---,---,---,---,
C24S,12:13:30,---,---,---,---,---,
C24S,12:14:14,---,---,---,---,---,
C24S,12:14:58,---,---,---,---,---,
C24S,12:15:42,---,---,---,---,---,
C24S,12:16:26,---,---,---,---,---,
C24S,12:17:10,---,---,---,---,---,
C24S,12:17:54,---,---,---,---,---,
C24S,12:18:39,---,---,---,---,---,
C24S,12:19:23,---,---,---,---,---,
C24S,12:20:07,---,---,---,---,---,
C24S,12:20:51,---,---,---,---,---,
C24S,12:21:35,---,---,---,---,---,
C24S,12:22:19,---,---,---,---,---,
C24S,12:23:03,---,---,---,---,---,
C24S,12:23:47,---,---,---,---,---,
C24S,12:24:31,---,---,---,---,---,
C24S,12:25:15,---,---,---,---,---,
C24S,12:25:59,---,---,---,---,---,
C24S,12:26:43,---,---,---,---,---,
C24S,12:27:27,---,---,---,---,---,
C24S,12:28:11,---,---,---,---,---,
C24S,12:28:56,---,---,---,---,---,
C24S,12:29:40,---,---,---,---,---,
C24S,12:30:24,---,---,---,---,---,
C24S,12:31:08,---,---,---,---,---,
C24S,12:31:50,1501.5,---,---,---,---,
C24S,12:32:33,---,---,---,---,---,
C24S,12:33:17,---,---,---,---,---,
C24S,12:34:01,---,---,---,---,---,
C24S,12:34:45,---,---,---,---,---,
C24S,12:35:29,---,---,---,---,---,
C24S,12:36:13,---,---,---,---,---,
C24S,12:36:57,---,---,---,---,---,
C24S,12:37:41,---,---,---,---,---,
C24S,12:38:26,---,---,---,---,---,
C24S,12:39:10,---,---,---,---,---,
C24S,12:39:54,---,---,---,---,---,
C24S,12:40:38,---,---,---,---,---,
C24S,12:41:22,---,---,---,---,---,
C24S,12:42:06,---,---,---,---,---,
C24S,12:42:50,---,---,---,---,---,
C24S,12:43:34,---,---,---,---,---,
