[NOTUS TEXTFILE V3.1]
File Created: 06-Aug-2019 16:11:22
Tow Date: 06-Aug-2019 9:26:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,12:13:38,---,---,---,---,---,
C24S,12:14:22,---,---,---,---,---,
C24S,12:15:06,---,---,---,---,---,
C24S,12:15:50,---,---,---,---,---,
C24S,12:16:34,---,---,---,---,---,
C24S,12:17:18,---,---,---,---,---,
C24S,12:18:02,---,---,---,---,---,
C24S,12:18:46,---,---,---,---,---,
C24S,12:19:30,---,---,---,---,---,
C24S,12:20:14,---,---,---,---,---,
C24S,12:20:59,---,---,---,---,---,
C24S,12:21:43,---,---,---,---,---,
C24S,12:22:27,---,---,---,---,---,
C24S,12:23:11,---,---,---,---,---,
C24S,12:23:55,---,---,---,---,---,
C24S,12:24:39,---,---,---,---,---,
C24S,12:25:23,---,---,---,---,---,
C24S,12:26:07,---,---,---,---,---,
C24S,12:26:51,---,---,---,---,---,
C24S,16:00:57,87.9,35.8,---,---,---,
C24S,16:01:35,88.0,35.5,---,---,---,
C24S,16:02:12,87.2,35.6,---,---,---,
C24S,16:02:49,87.6,35.6,---,---,---,
C24S,16:03:26,87.4,38.5,---,---,---,
C24S,16:04:04,87.6,36.4,---,---,---,
C24S,16:04:41,87.6,34.9,---,---,---,
C24S,16:05:18,87.4,34.5,---,---,---,
C24S,16:05:55,87.4,33.5,---,---,---,
C24S,16:06:32,87.8,36.6,---,---,---,
C24S,16:07:09,87.4,34.4,---,---,---,
C24S,16:07:46,87.5,33.8,---,---,---,
C24S,16:08:23,87.5,34.3,---,---,---,
C24S,16:09:00,86.9,36.2,---,---,---,
C24S,16:09:37,87.2,34.9,---,---,---,
C24S,16:10:14,87.9,33.8,---,---,---,
C24S,16:10:51,66.0,34.2,---,---,---,

Transponder: A96N
Placement: Port

Code,Time,Range(m),Data(),Latitude,Longitude,Echo Sounder(m),Comment
A96N,09:26:17,---,---,---,---,---,
A96N,09:27:01,---,---,---,---,---,
A96N,09:27:45,---,---,---,---,---,
A96N,09:28:29,---,---,---,---,---,
A96N,09:29:13,---,---,---,---,---,
A96N,09:29:58,---,---,---,---,---,
A96N,09:30:42,---,---,---,---,---,
A96N,09:31:26,---,---,---,---,---,
A96N,09:32:10,---,---,---,---,---,
A96N,09:32:54,---,---,---,---,---,
A96N,09:33:38,---,---,---,---,---,
A96N,09:34:22,---,---,---,---,---,
A96N,09:35:06,---,---,---,---,---,
A96N,09:35:50,---,---,---,---,---,
A96N,09:36:34,---,---,---,---,---,
A96N,09:37:18,---,---,---,---,---,
A96N,09:38:02,---,---,---,---,---,
A96N,09:38:46,---,---,---,---,---,
A96N,09:39:30,---,---,---,---,---,
A96N,09:40:15,---,---,---,---,---,
A96N,09:40:59,---,---,---,---,---,
A96N,09:41:43,---,---,---,---,---,
A96N,09:42:27,---,---,---,---,---,
A96N,09:43:11,---,---,---,---,---,
A96N,09:43:55,---,---,---,---,---,
A96N,09:44:39,---,---,---,---,---,
A96N,09:45:23,---,---,---,---,---,
A96N,09:46:07,---,---,---,---,---,
A96N,09:46:51,---,---,---,---,---,
A96N,09:47:35,---,---,---,---,---,
A96N,09:48:19,---,---,---,---,---,
A96N,09:49:03,---,---,---,---,---,
A96N,09:49:47,---,---,---,---,---,
A96N,09:50:32,---,---,---,---,---,
A96N,09:51:16,---,---,---,---,---,
A96N,09:52:00,---,---,---,---,---,
A96N,09:52:44,---,---,---,---,---,
A96N,09:53:28,---,---,---,---,---,
A96N,09:54:12,---,---,---,---,---,
A96N,09:54:56,---,---,---,---,---,
A96N,09:55:40,---,---,---,---,---,
A96N,09:56:24,---,---,---,---,---,
A96N,09:57:08,---,---,---,---,---,
A96N,09:57:52,---,---,---,---,---,
A96N,09:58:36,---,---,---,---,---,
A96N,09:59:20,---,---,---,---,---,
A96N,10:00:04,---,---,---,---,---,
A96N,10:00:49,---,---,---,---,---,
A96N,10:01:33,---,---,---,---,---,
A96N,10:02:17,---,---,---,---,---,
A96N,10:03:01,---,---,---,---,---,
A96N,10:03:45,---,---,---,---,---,
A96N,10:04:29,---,---,---,---,---,
A96N,10:05:13,---,---,---,---,---,
A96N,10:05:57,---,---,---,---,---,
A96N,10:06:41,---,---,---,---,---,
A96N,10:07:25,---,---,---,---,---,
A96N,10:08:09,---,---,---,---,---,
A96N,10:08:53,---,---,---,---,---,
A96N,10:09:37,---,---,---,---,---,
A96N,10:10:22,---,---,---,---,---,
