Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_6190_20170914_1.vld
Source Device: Minilog-TD-6190
Study Description: GP161A1
Minilog Initialized: 2017-09-14 12:18:03 (UTC-3)
Study Start Time: 2017-09-14 12:18:03
Study Stop Time: 2017-09-14 12:56:52
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-09-14,12:21:09,23.22,-1.62
2017-09-14,12:21:10,23.22,0.00
2017-09-14,12:21:11,23.22,-1.62
2017-09-14,12:21:12,23.22,-1.62
2017-09-14,12:21:13,23.22,-1.62
2017-09-14,12:21:14,23.06,-1.62
2017-09-14,12:21:15,23.06,0.00
2017-09-14,12:21:16,23.06,-1.62
2017-09-14,12:21:17,23.06,-1.62
2017-09-14,12:21:18,23.06,0.00
2017-09-14,12:21:19,23.06,-1.62
2017-09-14,12:21:20,23.06,-1.62
2017-09-14,12:21:21,23.06,0.00
2017-09-14,12:21:22,22.89,0.00
2017-09-14,12:21:23,22.89,-1.62
2017-09-14,12:21:24,22.89,0.00
2017-09-14,12:21:25,22.89,0.00
2017-09-14,12:21:26,22.89,-1.62
2017-09-14,12:21:27,22.89,0.00
2017-09-14,12:21:28,22.89,-1.62
2017-09-14,12:21:29,22.73,-1.62
2017-09-14,12:21:30,22.73,-1.62
2017-09-14,12:21:31,22.73,-1.62
2017-09-14,12:21:32,22.73,0.00
2017-09-14,12:21:33,22.73,0.00
2017-09-14,12:21:34,22.57,0.00
2017-09-14,12:21:35,22.57,0.00
2017-09-14,12:21:36,22.57,0.00
2017-09-14,12:21:37,22.57,0.00
2017-09-14,12:21:38,22.57,0.00
2017-09-14,12:21:39,22.41,-1.62
2017-09-14,12:21:40,22.41,0.00
2017-09-14,12:21:41,22.41,-1.62
2017-09-14,12:21:42,22.41,-1.62
2017-09-14,12:21:43,22.41,-1.62
2017-09-14,12:21:44,22.41,-1.62
2017-09-14,12:21:45,22.41,-3.24
2017-09-14,12:21:46,22.41,-3.24
2017-09-14,12:21:47,22.24,-1.62
2017-09-14,12:21:48,22.24,-1.62
2017-09-14,12:21:49,22.08,-1.62
2017-09-14,12:21:50,22.24,-1.62
2017-09-14,12:21:51,22.24,0.00
2017-09-14,12:21:52,22.08,0.00
2017-09-14,12:21:53,22.08,1.62
2017-09-14,12:21:54,22.24,1.62
2017-09-14,12:21:55,22.24,1.62
2017-09-14,12:21:56,22.24,1.62
2017-09-14,12:21:57,22.24,1.62
2017-09-14,12:21:58,22.24,1.62
2017-09-14,12:21:59,22.24,1.62
2017-09-14,12:22:00,22.24,1.62
2017-09-14,12:22:01,22.41,1.62
2017-09-14,12:22:02,22.24,1.62
2017-09-14,12:22:03,22.24,1.62
2017-09-14,12:22:04,22.24,1.62
2017-09-14,12:22:05,22.24,1.62
2017-09-14,12:22:06,22.24,1.62
2017-09-14,12:22:07,22.24,1.62
2017-09-14,12:22:08,22.24,1.62
2017-09-14,12:22:09,22.41,1.62
2017-09-14,12:22:10,22.41,1.62
2017-09-14,12:22:11,22.41,1.62
2017-09-14,12:22:12,21.60,-11.35
2017-09-14,12:22:13,20.17,-9.72
2017-09-14,12:22:14,19.23,-6.48
2017-09-14,12:22:15,18.76,-6.48
2017-09-14,12:22:16,18.45,-3.24
2017-09-14,12:22:17,18.29,-3.24
2017-09-14,12:22:18,18.14,-1.62
2017-09-14,12:22:19,17.99,-3.24
2017-09-14,12:22:20,17.99,-3.24
2017-09-14,12:22:21,17.99,-3.24
2017-09-14,12:22:22,17.83,-1.62
2017-09-14,12:22:23,17.83,-1.62
2017-09-14,12:22:24,17.83,-3.24
2017-09-14,12:22:25,17.83,-1.62
2017-09-14,12:22:26,17.83,-3.24
2017-09-14,12:22:27,17.68,-1.62
2017-09-14,12:22:28,17.68,-1.62
2017-09-14,12:22:29,17.68,0.00
2017-09-14,12:22:30,17.68,-1.62
2017-09-14,12:22:31,17.68,-1.62
2017-09-14,12:22:32,17.52,-1.62
2017-09-14,12:22:33,17.52,0.00
2017-09-14,12:22:34,17.52,0.00
2017-09-14,12:22:35,17.52,0.00
2017-09-14,12:22:36,17.52,0.00
2017-09-14,12:22:37,17.52,0.00
2017-09-14,12:22:38,17.37,0.00
2017-09-14,12:22:39,17.37,1.62
2017-09-14,12:22:40,17.37,0.00
2017-09-14,12:22:41,17.37,0.00
2017-09-14,12:22:42,17.37,0.00
2017-09-14,12:22:43,17.37,1.62
2017-09-14,12:22:44,17.37,0.00
2017-09-14,12:22:45,17.37,1.62
2017-09-14,12:22:46,17.22,1.62
2017-09-14,12:22:47,17.22,1.62
2017-09-14,12:22:48,17.22,1.62
2017-09-14,12:22:49,17.22,1.62
2017-09-14,12:22:50,17.22,1.62
2017-09-14,12:22:51,17.22,1.62
2017-09-14,12:22:52,17.07,1.62
2017-09-14,12:22:53,17.07,1.62
2017-09-14,12:22:54,17.22,1.62
2017-09-14,12:22:55,17.07,1.62
2017-09-14,12:22:56,17.07,1.62
2017-09-14,12:22:57,17.07,1.62
2017-09-14,12:22:58,17.07,1.62
2017-09-14,12:22:59,17.07,1.62
2017-09-14,12:23:00,17.07,1.62
2017-09-14,12:23:01,17.07,1.62
2017-09-14,12:23:02,17.07,1.62
2017-09-14,12:23:03,17.07,1.62
2017-09-14,12:23:04,17.07,1.62
2017-09-14,12:23:05,17.07,1.62
2017-09-14,12:23:06,17.07,1.62
2017-09-14,12:23:07,16.91,1.62
2017-09-14,12:23:08,16.91,1.62
2017-09-14,12:23:09,16.91,1.62
2017-09-14,12:23:10,16.91,1.62
2017-09-14,12:23:11,16.91,1.62
2017-09-14,12:23:12,16.91,1.62
2017-09-14,12:23:13,17.07,0.00
2017-09-14,12:23:14,17.07,1.62
2017-09-14,12:23:15,17.22,1.62
2017-09-14,12:23:16,17.37,1.62
2017-09-14,12:23:17,17.37,1.62
2017-09-14,12:23:18,17.52,1.62
2017-09-14,12:23:19,17.52,1.62
2017-09-14,12:23:20,17.68,3.24
2017-09-14,12:23:21,17.83,3.24
2017-09-14,12:23:22,17.83,3.24
2017-09-14,12:23:23,17.83,1.62
2017-09-14,12:23:24,17.83,1.62
2017-09-14,12:23:25,17.99,3.24
2017-09-14,12:23:26,17.99,3.24
2017-09-14,12:23:27,17.99,3.24
2017-09-14,12:23:28,18.14,1.62
2017-09-14,12:23:29,17.83,0.00
2017-09-14,12:23:30,17.37,1.62
2017-09-14,12:23:31,17.22,1.62
2017-09-14,12:23:32,17.07,1.62
2017-09-14,12:23:33,17.07,1.62
2017-09-14,12:23:34,17.07,1.62
2017-09-14,12:23:35,16.91,1.62
