FileName: C:\2005NE~1\GP252.TXT
Local Time: Fri Sep 16 18:14:43 2005

Ship: Marco Michel Trip: 09 Tow: gp252
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  211621  47  12.3490 N  60  41.9910 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211623  47  12.3460 N  60  41.9960 W   8.0        2.1       10.5        8.1        9.6*      36.5 
050916  211625  47  12.3440 N  60  42.0020 W   8.0        2.1       10.5        8.1        9.6       36.5 
050916  211627  47  12.3410 N  60  42.0070 W   7.9        2.1       10.5        8.1        9.6       36.5 
050916  211629  47  12.3380 N  60  42.0130 W   7.9        2.1       10.5        8.1        9.6       36.5 
050916  211631  47  12.3360 N  60  42.0180 W   8.1        2.1       10.5        8.1        9.6       36.5 
050916  211633  47  12.3330 N  60  42.0230 W   7.8        2.1       10.5        8.1        9.6       70.4*
050916  211635  47  12.3300 N  60  42.0280 W   7.7        2.1       10.5        8.1        9.6       70.4 
050916  211637  47  12.3280 N  60  42.0330 W   8.0        2.1       10.5        8.1        9.6       70.4 
050916  211639  47  12.3250 N  60  42.0380 W   7.8        2.1       10.5        8.1        9.6       70.4 
050916  211641  47  12.3220 N  60  42.0430 W   7.6        2.1       10.5        8.1        9.6       70.4 
050916  211643  47  12.3200 N  60  42.0480 W   7.4        2.1       10.5        8.1        9.6       70.4 
050916  211645  47  12.3180 N  60  42.0520 W   7.0        2.1       10.5        8.1        9.6       70.4 
050916  211647  47  12.3150 N  60  42.0570 W   6.7        2.1       10.5        8.1        9.6       70.4 
050916  211649  47  12.3130 N  60  42.0610 W   6.6        2.1       10.5        8.1        9.6       51.0*
050916  211651  47  12.3110 N  60  42.0650 W   6.9        2.1       10.5        8.1        9.6       51.0 
050916  211653  47  12.3090 N  60  42.0700 W   6.5        2.1       10.5        8.1        9.6       58.9*
050916  211655  47  12.3070 N  60  42.0740 W   6.3        2.1       10.5        8.1      107.0*      58.9 
050916  211657  47  12.3050 N  60  42.0780 W   6.5        2.2*      10.5        8.1      107.0       58.9 
050916  211659  47  12.3030 N  60  42.0820 W   5.7        2.2       10.5        8.1      107.0       44.0*
050916  211701  47  12.3010 N  60  42.0860 W   6.7        2.2       10.5        8.1        7.6*      44.0 
050916  211703  47  12.2990 N  60  42.0890 W   6.2        2.2       10.5        8.1        7.6       44.0 
050916  211705  47  12.2960 N  60  42.0930 W   6.2        2.2       10.5        8.1       12.2*      80.1*
050916  211707  47  12.2940 N  60  42.0970 W   6.2        2.2       10.5        8.1       12.2       80.1 
050916  211709  47  12.2920 N  60  42.1010 W   6.1        2.2       10.5        8.1       12.2       25.1*
050916  211711  47  12.2900 N  60  42.1050 W   6.0        2.2       10.5        8.1       12.2       25.1 
050916  211713  47  12.2880 N  60  42.1090 W   6.2        2.2       10.5        8.1       12.2       25.1 
050916  211715  47  12.2860 N  60  42.1130 W   6.3        2.2       10.5        8.1       12.2       47.5*
050916  211717  47  12.2840 N  60  42.1160 W   6.4        2.2       10.5        8.1       12.2       47.5 
050916  211719  47  12.2820 N  60  42.1200 W   6.2        2.2       10.5        8.1       12.2       47.5 
050916  211721  47  12.2790 N  60  42.1240 W   6.1        2.2       10.5        8.1       11.3*      50.6*
050916  211723  47  12.2770 N  60  42.1280 W   5.9        2.2       10.5        8.1       11.3       50.6 
050916  211725  47  12.2750 N  60  42.1320 W   6.5        2.2       10.5        8.1       11.3       58.9*
050916  211727  47  12.2720 N  60  42.1360 W   6.5        2.2       10.5        8.1       11.3       58.9 
050916  211729  47  12.2700 N  60  42.1400 W   5.9        2.2       10.5        8.1       11.3       58.9 
050916  211731  47  12.2680 N  60  42.1430 W   6.2        2.2       10.5        8.1       11.3       33.4*
050916  211733  47  12.2650 N  60  42.1470 W   6.1        2.2       10.5        8.1       11.3       33.4 
050916  211735  47  12.2630 N  60  42.1510 W   6.5        2.2       10.5        8.1       11.3       33.4 
050916  211737  47  12.2600 N  60  42.1550 W   6.5        2.2       10.5        8.1       11.0*      55.9*
050916  211739  47  12.2580 N  60  42.1590 W   6.2        2.2        2.7*       8.1       11.0       55.9 
