FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  202238  46  54.2620 N  61  14.5480 W   2.3       11.4       11.8        0.0        4.7       55.9 
050917  202240  46  54.2600 N  61  14.5480 W   2.0       11.4       11.8        0.0        4.7       55.9 
050917  202242  46  54.2590 N  61  14.5470 W   2.4       11.4       11.8        0.0        6.1*      58.1*
050917  202244  46  54.2580 N  61  14.5470 W   2.0       11.4       11.8        0.0        6.1       58.1 
050917  202246  46  54.2570 N  61  14.5470 W   2.3       11.4       11.8        0.0        5.7*      58.1 
050917  202248  46  54.2560 N  61  14.5460 W   2.1       11.4       11.8        0.0        5.7       61.1*
050917  202250  46  54.2550 N  61  14.5450 W   2.1       11.4       11.8        0.0        5.7       61.1 
050917  202252  46  54.2540 N  61  14.5450 W   2.1       11.4       11.8        0.0        6.5*      63.3*
050917  202254  46  54.2530 N  61  14.5450 W   2.2       11.4       11.8        0.0        6.5       63.3 
050917  202256  46  54.2510 N  61  14.5450 W   2.2       11.4       11.8        0.0        6.7*      63.3 
050917  202258  46  54.2500 N  61  14.5440 W   2.0       11.4       11.8        0.0        6.7       64.2*
050917  202300  46  54.2490 N  61  14.5440 W   2.1       11.4       11.8        0.0        6.7       64.2 
050917  202302  46  54.2480 N  61  14.5440 W   1.9       11.4       11.8        0.0        7.6*      64.2 
050917  202304  46  54.2460 N  61  14.5440 W   2.4       11.4       11.8        0.0        7.6      115.7*
050917  202306  46  54.2450 N  61  14.5440 W   1.7       11.4       11.8        0.0        7.6      115.7 
050917  202308  46  54.2440 N  61  14.5430 W   2.2       11.4       11.8        0.0        8.2*     115.7 
050917  202310  46  54.2430 N  61  14.5430 W   1.9       11.4       11.8        0.0        8.2      115.7 
050917  202312  46  54.2420 N  61  14.5430 W   2.1       11.4       11.8        0.0        9.4*     115.7 
050917  202314  46  54.2410 N  61  14.5430 W   1.9       11.4       11.8        0.0        9.4      115.7 
050917  202316  46  54.2400 N  61  14.5430 W   2.2       11.4       11.8        0.0        9.4      115.7 
050917  202318  46  54.2390 N  61  14.5420 W   1.9       11.4       11.8        0.0       10.0*     115.7 
050917  202320  46  54.2380 N  61  14.5420 W   2.0       11.4       11.8        0.0       10.0      115.7 
050917  202322  46  54.2370 N  61  14.5420 W   2.2       11.4       11.8        0.0       10.0      115.7 
050917  202324  46  54.2360 N  61  14.5420 W   1.7       11.4       11.8        0.0       10.4*      64.2*
050917  202326  46  54.2350 N  61  14.5410 W   2.1       11.4       11.8        0.0       10.4       64.2 
050917  202328  46  54.2330 N  61  14.5410 W   2.2       11.4       11.8        0.0        9.5*      64.2 
050917  202330  46  54.2320 N  61  14.5410 W   2.0       11.4       11.8        0.0        9.5       68.2*
050917  202332  46  54.2310 N  61  14.5410 W   2.0       11.4       11.8        0.0        9.5       68.2 
