FileName: C:\2005NE~1\GP155.TXT
Local Time: Sat Aug 27 13:35:30 2005

Ship: Marco Michel Trip: 08 Tow: gp155
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050827  163848  47  55.3340 N  64   2.3200 W   5.0        2.2       10.9        8.7        0.0       47.5 
050827  163850  47  55.3320 N  64   2.3220 W   5.1        2.2       10.9        7.4*       0.0       47.5 
050827  163852  47  55.3290 N  64   2.3250 W   5.0        2.2       10.9        7.4        0.0       47.5 
050827  163855  47  55.3250 N  64   2.3280 W   5.0        2.2       10.9        7.4        0.0       47.5 
050827  163856  47  55.3230 N  64   2.3300 W   5.1        2.2       10.9        4.6*       0.0       47.5 
050827  163858  47  55.3210 N  64   2.3320 W   5.1        2.2       10.9        4.6        0.0       47.5 
050827  163901  47  55.3180 N  64   2.3360 W   5.0        2.2       10.9        4.6        0.0       47.5 
050827  163902  47  55.3180 N  64   2.3370 W   5.0        2.2       10.9        5.0*       0.0       50.1*
050827  163904  47  55.3150 N  64   2.3400 W   5.1        2.2       10.9        5.0        0.0       50.1 
050827  163906  47  55.3130 N  64   2.3420 W   5.1        2.2       10.9        6.8*       0.0       50.1 
050827  163908  47  55.3100 N  64   2.3450 W   5.1        2.2       10.9        6.8        0.0       48.4*
050827  163910  47  55.3080 N  64   2.3470 W   5.0        2.2       10.9        6.8        0.0       48.4 
050827  163912  47  55.3050 N  64   2.3500 W   5.0        2.2       10.9        6.8*       0.0       47.9*
050827  163914  47  55.3030 N  64   2.3520 W   5.0        2.2       10.9        6.8        0.0       47.9 
050827  163916  47  55.3010 N  64   2.3550 W   5.0        2.2       10.9        6.6*       0.0       47.9 
050827  163918  47  55.2990 N  64   2.3580 W   5.0        2.2       10.9        6.6        0.0       48.8*
050827  163920  47  55.2970 N  64   2.3600 W   5.0        2.2       10.9        6.6        0.0       48.8 
050827  163922  47  55.2940 N  64   2.3630 W   5.0        2.2       10.9        5.6*       0.0       49.3*
050827  163924  47  55.2920 N  64   2.3660 W   5.0        2.2       10.9        5.6        0.0       49.3 
050827  163926  47  55.2900 N  64   2.3680 W   5.0        2.2       10.9        5.6        0.0       49.3 
050827  163928  47  55.2880 N  64   2.3710 W   5.0        2.2       10.9        6.4*       0.0       47.1*
050827  163931  47  55.2840 N  64   2.3740 W   5.0        2.2       10.9        6.4        0.0       47.1 
050827  163932  47  55.2830 N  64   2.3750 W   5.0        2.2       10.9        6.9*       0.0       47.1 
050827  163934  47  55.2810 N  64   2.3780 W   4.6        2.2       10.9        6.9        0.0       50.6*
050827  163937  47  55.2780 N  64   2.3810 W   4.2        2.2       10.9        6.9        0.0       50.6 
050827  163938  47  55.2770 N  64   2.3820 W   4.0        2.2       10.9        6.3*       0.0       50.6 
050827  163940  47  55.2750 N  64   2.3850 W   3.8        2.2       10.9        6.3        0.0       49.7*
050827  163942  47  55.2740 N  64   2.3860 W   3.6        2.2       10.9        6.3        0.0       49.7 
050827  163944  47  55.2720 N  64   2.3880 W   3.6        2.2       10.9        7.4*       0.0       50.1*
050827  163947  47  55.2700 N  64   2.3910 W   3.4        2.2       10.9        7.4        0.0       50.1 
050827  163948  47  55.2690 N  64   2.3920 W   3.2        2.2       10.9        5.7*       0.0       50.1 
050827  163950  47  55.2680 N  64   2.3930 W   2.9        2.2       10.9        5.7        0.0       51.0*
050827  163952  47  55.2670 N  64   2.3940 W   2.9        2.2       10.9        5.7        0.0       51.0 
050827  163954  47  55.2650 N  64   2.3960 W   2.8        2.2       10.9        6.4*       0.0       51.0 
050827  163957  47  55.2630 N  64   2.3970 W   2.6        2.1*      10.9        6.4        0.0       52.8*
050827  163959  47  55.2620 N  64   2.3980 W   2.4        2.1       10.9        6.5*       0.0       52.8 
050827  164001  47  55.2610 N  64   2.4000 W   2.4        2.1       10.9        6.5        0.0       51.5*
050827  164002  47  55.2600 N  64   2.4000 W   2.5        2.1        2.3*       6.5        0.0       51.5 
050827  164004  47  55.2590 N  64   2.4010 W   2.4        2.1        2.3        6.1*       0.0       51.5 
050827  164007  47  55.2570 N  64   2.4030 W   2.2        2.1        2.3        6.1        0.0       54.1*
050827  164009  47  55.2560 N  64   2.4040 W   2.1        3.3*       2.3        6.1        0.0       54.1 
050827  164010  47  55.2560 N  64   2.4040 W   2.2        3.3        2.3        5.8*       0.0       56.7*
050827  164013  47  55.2540 N  64   2.4060 W   2.0        3.3        2.3        5.8        0.0       56.7 
050827  164015  47  55.2530 N  64   2.4060 W   1.8        3.3        2.6*       5.5*       0.0       56.7 
050827  164017  47  55.2530 N  64   2.4070 W   1.8        3.3        2.6        5.5        0.0       56.7*
