FileName: C:\TRAWLS~1\FALL\GP280F.TXT
Local Time: Sat Aug 08 09:07:13 2009

Ship: August 8, 2009 Trip: GP280F Tow: 4
Comments: zone 12 canal des iles
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090808  120928  46  48.1954 N  61  47.2503 W   7.5        2.1        2.3        2.0       15.8 
090808  120929  46  48.1937 N  61  47.2487 W   7.5        2.1        2.3        2.0       15.8 
090808  120930  46  48.1920 N  61  47.2471 W   7.5        2.1        2.3        2.0       15.8 
090808  120931  46  48.1903 N  61  47.2455 W   7.4        2.1        2.3        2.0       15.8 
090808  120932  46  48.1887 N  61  47.2438 W   7.4        2.1        2.3        2.0       15.8 
090808  120933  46  48.1871 N  61  47.2422 W   7.3        2.1        2.3        2.0       15.8 
090808  120934  46  48.1854 N  61  47.2406 W   7.3        2.1        2.3        2.0       15.8 
090808  120935  46  48.1837 N  61  47.2390 W   7.3        2.1        2.3        2.0       15.8 
090808  120936  46  48.1820 N  61  47.2374 W   7.3        2.1        2.3        2.0       15.8 
090808  120937  46  48.1803 N  61  47.2357 W   7.3        2.1        2.3        2.0       15.8 
090808  120938  46  48.1786 N  61  47.2340 W   7.3        2.1        2.3        2.0       15.8 
090808  120939  46  48.1769 N  61  47.2324 W   7.3        2.1        2.3        2.0       15.8 
090808  120940  46  48.1751 N  61  47.2308 W   7.3        2.1        2.3        2.0       15.8 
090808  120941  46  48.1734 N  61  47.2293 W   7.3        2.1        2.3        2.0       15.8 
090808  120942  46  48.1717 N  61  47.2278 W   7.3        2.1        2.3        2.0       15.8 
090808  120943  46  48.1700 N  61  47.2261 W   7.3        2.1        2.3        2.0       15.8 
090808  120944  46  48.1683 N  61  47.2245 W   7.3        2.1        2.3        2.0       15.8 
090808  120945  46  48.1665 N  61  47.2229 W   7.3        2.1        2.3        2.0       15.8 
090808  120946  46  48.1648 N  61  47.2212 W   7.3        2.1        2.3        2.0       15.8 
090808  120947  46  48.1630 N  61  47.2196 W   7.3        2.1        2.3        2.0       15.8 
090808  120948  46  48.1613 N  61  47.2181 W   7.3        2.1        2.3        2.0       15.8 
090808  120949  46  48.1597 N  61  47.2166 W   7.2        2.1        2.3        2.0       15.8 
090808  120950  46  48.1582 N  61  47.2152 W   7.1        2.1        2.3        2.0       15.8 
090808  120951  46  48.1568 N  61  47.2139 W   6.9        2.1        2.3        2.0       15.8 
090808  120952  46  48.1555 N  61  47.2128 W   6.7        2.1        2.3        2.0       15.8 
090808  120953  46  48.1543 N  61  47.2117 W   6.5        2.1        2.3        2.0       15.8 
090808  120954  46  48.1530 N  61  47.2106 W   6.2        2.1        2.3        2.0       15.8 
090808  120955  46  48.1519 N  61  47.2095 W   6.0        2.1        2.3        2.0       15.8 
090808  120956  46  48.1508 N  61  47.2086 W   5.7        2.1        2.3        2.0       15.8 
090808  120957  46  48.1499 N  61  47.2077 W   5.5        2.1        2.3        5.9*      15.8 
090808  120958  46  48.1489 N  61  47.2069 W   5.3        2.1        2.3        5.9       15.8 
090808  120959  46  48.1479 N  61  47.2060 W   5.1        2.1        2.3        5.9       15.8 
090808  121000  46  48.1470 N  61  47.2052 W   4.9        2.1*       2.3        5.9       15.8 
090808  121001  46  48.1462 N  61  47.2044 W   4.7        2.1        2.3        5.9       15.8 
090808  121002  46  48.1453 N  61  47.2036 W   4.5        2.1        2.3        7.4*      15.8 
090808  121003  46  48.1446 N  61  47.2030 W   4.3        2.1        2.3        7.4       15.8 
090808  121004  46  48.1438 N  61  47.2023 W   4.1        2.1        2.3        7.4       15.8 
090808  121005  46  48.1430 N  61  47.2015 W   4.0        2.1        2.3        7.4       15.8 
090808  121006  46  48.1424 N  61  47.2008 W   3.8        2.1        2.3        7.4       45.7*
090808  121007  46  48.1417 N  61  47.2001 W   3.7        2.1        2.3        9.4*      45.7 
090808  121008  46  48.1410 N  61  47.1995 W   3.6        2.1        2.3        9.4       45.7 
090808  121009  46  48.1404 N  61  47.1989 W   3.5        2.1        2.3        9.4       45.7 
090808  121010  46  48.1399 N  61  47.1982 W   3.4        2.1        2.3        9.4       45.7 
