FileName: C:\TRAWLS~1\FALL\GP196F.TXT
Local Time: Thu Sep 03 16:26:56 2009

Ship: september 03, 2009 Trip: GP196F Tow: 5
Comments: zone 12 nord ouest du banc bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090903  192826  47  48.4927 N  63  22.7597 W   7.7        8.0        2.3        8.6      154.0 
090903  192827  47  48.4949 N  63  22.7592 W   7.7        8.0        2.3        8.6      154.0 
090903  192828  47  48.4970 N  63  22.7588 W   7.7        8.0        2.3        8.6      154.0 
090903  192829  47  48.4991 N  63  22.7585 W   7.7        8.0        2.3        8.6      154.0 
090903  192830  47  48.5012 N  63  22.7583 W   7.6        8.0        2.3        8.6      154.0 
090903  192831  47  48.5033 N  63  22.7580 W   7.6        8.0        2.3        8.6      154.0 
090903  192832  47  48.5053 N  63  22.7577 W   7.6        8.0        2.3        8.6      154.0 
090903  192833  47  48.5075 N  63  22.7573 W   7.6        8.0        2.3        8.6      154.0 
090903  192834  47  48.5096 N  63  22.7567 W   7.7        8.0        2.3        8.6      154.0 
090903  192835  47  48.5118 N  63  22.7561 W   7.7        8.0        2.3        8.6      154.0 
090903  192836  47  48.5139 N  63  22.7555 W   7.7        2.4*       2.3        8.6      154.0 
090903  192837  47  48.5161 N  63  22.7550 W   7.7        2.4        2.3        8.6      154.0 
090903  192838  47  48.5182 N  63  22.7545 W   7.7        2.4        2.3        8.6      154.0 
090903  192839  47  48.5202 N  63  22.7541 W   7.6        2.4        2.3        8.6      154.0 
090903  192840  47  48.5223 N  63  22.7537 W   7.6        2.4        2.3        8.6      154.0 
090903  192841  47  48.5244 N  63  22.7532 W   7.6        2.4        2.3        8.6      154.0 
090903  192842  47  48.5265 N  63  22.7527 W   7.6        2.4        2.3        8.6      154.0 
090903  192843  47  48.5286 N  63  22.7522 W   7.7        2.4        2.3        8.6      154.0 
090903  192844  47  48.5308 N  63  22.7516 W   7.7        2.4        2.3        8.6      154.0 
090903  192845  47  48.5329 N  63  22.7511 W   7.7        2.4        2.3        8.6      154.0 
090903  192846  47  48.5350 N  63  22.7506 W   7.7        2.4        2.3       88.7*     154.0 
090903  192847  47  48.5372 N  63  22.7501 W   7.7        2.4        2.3       88.7      154.0 
090903  192848  47  48.5393 N  63  22.7497 W   7.7        2.4        2.3       88.7      154.0 
090903  192849  47  48.5413 N  63  22.7494 W   7.6        2.4        2.3       88.7      154.0 
090903  192850  47  48.5435 N  63  22.7491 W   7.6        2.4        2.3       88.7      154.0 
090903  192851  47  48.5456 N  63  22.7487 W   7.7        2.4        2.3       88.7      154.0 
090903  192852  47  48.5477 N  63  22.7483 W   7.6        2.4        2.3       88.7      154.0 
090903  192853  47  48.5498 N  63  22.7477 W   7.7        2.4        2.3       88.7      154.0 
090903  192854  47  48.5521 N  63  22.7471 W   7.7        2.4        2.3       88.7      154.0 
090903  192855  47  48.5542 N  63  22.7466 W   7.7        2.4        2.3       88.7      154.0 
090903  192856  47  48.5563 N  63  22.7462 W   7.7        2.4        2.3       88.7      154.0 
090903  192857  47  48.5583 N  63  22.7460 W   7.7        2.4        2.3       88.7      154.0 
090903  192858  47  48.5605 N  63  22.7458 W   7.6        2.4        2.3       88.7      154.0 
090903  192859  47  48.5626 N  63  22.7456 W   7.6        2.4        2.3       88.7      154.0 
090903  192900  47  48.5646 N  63  22.7453 W   7.6        2.4        2.3       88.7      154.0 
090903  192901  47  48.5668 N  63  22.7449 W   7.6        2.4        2.3       88.7      154.0 
090903  192902  47  48.5690 N  63  22.7443 W   7.7        2.4        2.3       88.7      154.0 
090903  192903  47  48.5711 N  63  22.7438 W   7.7        2.4        2.3       88.7      154.0 
090903  192904  47  48.5732 N  63  22.7433 W   7.7        2.4        2.3       88.7      154.0 
090903  192905  47  48.5753 N  63  22.7428 W   7.7        2.4        2.3       88.7      154.0 
090903  192906  47  48.5775 N  63  22.7424 W   7.7        2.4        2.3       88.7      154.0 
090903  192907  47  48.5796 N  63  22.7420 W   7.7        2.4        2.3       88.7      154.0 
090903  192908  47  48.5817 N  63  22.7416 W   7.7        2.4        2.3       88.7      154.0 
090903  192909  47  48.5838 N  63  22.7412 W   7.7        2.4        2.3       88.7      154.0 
090903  192910  47  48.5859 N  63  22.7408 W   7.7        2.4        2.3       88.7      154.0 
090903  192911  47  48.5880 N  63  22.7405 W   7.7        2.4        2.3       88.7      154.0 
090903  192912  47  48.5902 N  63  22.7400 W   7.7        2.4        2.3       88.7      154.0 
090903  192913  47  48.5923 N  63  22.7395 W   7.7        2.4        2.3       88.7      154.0 
090903  192914  47  48.5944 N  63  22.7390 W   7.7        2.4        2.3       88.7      154.0 
090903  192915  47  48.5965 N  63  22.7386 W   7.7        2.4        2.3       88.7      154.0 
090903  192916  47  48.5986 N  63  22.7382 W   7.7        2.4        2.3       88.7      154.0 
090903  192917  47  48.6007 N  63  22.7379 W   7.7        2.4        2.3       88.7      154.0 
