FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP167.TXT
Local Time: Sat Jul 27 20:39:48 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP167
Comments: L'ETOILE ZONE 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020727  230952  47  33.0320 N  63  16.5610 W   0.4        3.8        2.3*       9.2*
020727  234005  47  29.3730 N  63  18.3600 W   2.5        2.5        2.4        8.8 
020727  234005  47  29.3730 N  63  18.3600 W   2.5        2.5        2.4        8.8 
020727  234007  47  29.3720 N  63  18.3590 W   2.3        2.5        2.4        8.8 
020727  234007  47  29.3720 N  63  18.3590 W   2.3        2.5        2.4        8.8 
020727  234007  47  29.3720 N  63  18.3590 W   2.3        2.5        2.4        8.8 
020727  234007  47  29.3720 N  63  18.3590 W   2.3        2.5        2.4        8.8 
020727  234007  47  29.3720 N  63  18.3590 W   2.3        2.5        2.4        8.8 
020727  234009  47  29.3720 N  63  18.3570 W   2.1        2.5        2.4        8.8 
020727  234009  47  29.3720 N  63  18.3570 W   2.1        2.5        2.4        8.8 
020727  234009  47  29.3720 N  63  18.3570 W   2.1        2.5        2.4       12.8*
020727  234009  47  29.3720 N  63  18.3570 W   2.1        2.5        2.4       12.8 
020727  234009  47  29.3720 N  63  18.3570 W   2.1        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234011  47  29.3720 N  63  18.3550 W   1.8        2.5        2.4       12.8 
020727  234013  47  29.3710 N  63  18.3540 W   2.1        2.5        2.4       12.8 
020727  234013  47  29.3710 N  63  18.3540 W   2.1        2.5        2.4       12.8 
020727  234013  47  29.3710 N  63  18.3540 W   2.1        2.5        2.4       12.8 
020727  234013  47  29.3710 N  63  18.3540 W   2.1        2.5        2.4       12.8 
020727  234013  47  29.3710 N  63  18.3540 W   2.1        2.5        2.4       12.8 
020727  234015  47  29.3710 N  63  18.3520 W   2.3        2.5        2.4        8.4*
020727  234015  47  29.3710 N  63  18.3520 W   2.3        2.5        2.4        8.4 
020727  234015  47  29.3710 N  63  18.3520 W   2.3        2.5        2.4        8.4 
020727  234015  47  29.3710 N  63  18.3520 W   2.3        2.5        8.5*       8.4 
020727  234015  47  29.3710 N  63  18.3520 W   2.3        2.5        8.5        8.4 
020727  234015  47  29.3710 N  63  18.3520 W   2.3        2.5        8.5        8.4 
020727  234017  47  29.3710 N  63  18.3500 W   2.0        2.5        8.5        8.4 
020727  234017  47  29.3710 N  63  18.3500 W   2.0        2.5        8.5        8.4 
020727  234017  47  29.3710 N  63  18.3500 W   2.0        2.5        8.5        8.4 
020727  234017  47  29.3710 N  63  18.3500 W   2.0        2.5        8.5        8.4 
020727  234017  47  29.3710 N  63  18.3500 W   2.0        2.5        8.5        8.4 
020727  234019  47  29.3700 N  63  18.3490 W   2.2        2.5        8.5        8.4 
020727  234019  47  29.3700 N  63  18.3490 W   2.2        2.5        8.5        8.4 
020727  234019  47  29.3700 N  63  18.3490 W   2.2        2.5        8.5        8.4 
020727  234019  47  29.3700 N  63  18.3490 W   2.2        2.5        8.5       11.0*
020727  234019  47  29.3700 N  63  18.3490 W   2.2        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234021  47  29.3700 N  63  18.3470 W   2.1        2.5        8.5       11.0 
020727  234023  47  29.3700 N  63  18.3450 W   2.4        2.5        8.5       11.0 
020727  234023  47  29.3700 N  63  18.3450 W   2.4        2.5        8.5       11.0 
020727  234023  47  29.3700 N  63  18.3450 W   2.4        2.5        8.5       11.0 
020727  234023  47  29.3700 N  63  18.3450 W   2.4        2.5        8.5       11.0 
020727  234023  47  29.3700 N  63  18.3450 W   2.4        2.5        8.5       11.0 
020727  234025  47  29.3690 N  63  18.3440 W   2.2        2.5        8.5       11.0 
020727  234025  47  29.3690 N  63  18.3440 W   2.2        2.5        8.5       11.0 
020727  234025  47  29.3690 N  63  18.3440 W   2.2        2.5        8.5       11.9*
020727  234025  47  29.3690 N  63  18.3440 W   2.2        2.5        8.5       11.9 
020727  234025  47  29.3690 N  63  18.3440 W   2.2        2.5        8.5       11.9 
020727  234025  47  29.3690 N  63  18.3440 W   2.2        2.5        8.5       11.9 
020727  234027  47  29.3690 N  63  18.3420 W   2.2        2.5        8.5       11.9 
020727  234027  47  29.3690 N  63  18.3420 W   2.2        2.5        8.5       11.9 
020727  234027  47  29.3690 N  63  18.3420 W   2.2        2.5        8.5       11.9 
020727  234027  47  29.3690 N  63  18.3420 W   2.2        2.5       10.9*      11.9 
020727  234027  47  29.3690 N  63  18.3420 W   2.2        2.5       10.9       11.9 
020727  234029  47  29.3690 N  63  18.3400 W   2.1        2.5       10.9       11.9 
020727  234029  47  29.3690 N  63  18.3400 W   2.1        2.5       10.9       11.9 
020727  234029  47  29.3690 N  63  18.3400 W   2.1        2.5       10.9       11.9 
020727  234029  47  29.3690 N  63  18.3400 W   2.1        2.5       10.9       11.9 
020727  234029  47  29.3690 N  63  18.3400 W   2.1        2.5       10.9       11.4*
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234031  47  29.3680 N  63  18.3390 W   2.2        2.5       10.9       11.4 
020727  234033  47  29.3680 N  63  18.3370 W   2.4        2.5       10.9       11.4 
020727  234033  47  29.3680 N  63  18.3370 W   2.4        2.5       10.9       11.4 
020727  234033  47  29.3680 N  63  18.3370 W   2.4        2.5       10.9       11.4 
020727  234033  47  29.3680 N  63  18.3370 W   2.4        2.5        2.9*      11.4 
020727  234033  47  29.3680 N  63  18.3370 W   2.4        2.5        2.9       11.4 
020727  234035  47  29.3670 N  63  18.3350 W   2.2        2.5        2.9       11.4 
020727  234035  47  29.3670 N  63  18.3350 W   2.2        2.5        2.9       11.4 
020727  234035  47  29.3670 N  63  18.3350 W   2.2        2.5        2.9       11.4 
020727  234035  47  29.3670 N  63  18.3350 W   2.2        2.5        2.9       12.3*
020727  234035  47  29.3670 N  63  18.3350 W   2.2        2.5        2.9       12.3 
020727  234035  47  29.3670 N  63  18.3350 W   2.2        2.5        2.9       12.3 
020727  234037  47  29.3670 N  63  18.3330 W   2.6        2.5        2.9       12.3 
020727  234037  47  29.3670 N  63  18.3330 W   2.6        2.5        2.9       12.3 
020727  234037  47  29.3670 N  63  18.3330 W   2.6        2.5        2.9       12.3 
020727  234037  47  29.3670 N  63  18.3330 W   2.6        2.5        2.9       12.3 
020727  234037  47  29.3670 N  63  18.3330 W   2.6        2.5        2.9       12.3 
020727  234039  47  29.3670 N  63  18.3310 W   2.3        2.5        2.9       12.3 
020727  234039  47  29.3670 N  63  18.3310 W   2.3        2.5        2.9       12.3 
020727  234039  47  29.3670 N  63  18.3310 W   2.3        2.5        2.9       12.3 
020727  234039  47  29.3670 N  63  18.3310 W   2.3        2.5        2.9       12.3 
020727  234039  47  29.3670 N  63  18.3310 W   2.3        2.5        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        2.5        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        2.5        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        2.5        2.9       12.3*
020727  234041  47  29.3660 N  63  18.3300 W   2.0        2.5        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        2.5        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        5.2*       2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        5.2        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        5.2        2.9       12.3 
020727  234041  47  29.3660 N  63  18.3300 W   2.0        5.2        2.9       12.3 
020727  234043  47  29.3660 N  63  18.3280 W   2.7        5.2        2.9       12.3 
020727  234043  47  29.3660 N  63  18.3280 W   2.7        5.2        2.9       12.3 
020727  234043  47  29.3660 N  63  18.3280 W   2.7        5.2        2.9       12.3 
020727  234043  47  29.3660 N  63  18.3280 W   2.7        5.2        2.9       12.3 
020727  234043  47  29.3660 N  63  18.3280 W   2.7        5.2        2.9       12.3 
020727  234045  47  29.3650 N  63  18.3250 W   3.3        5.2        2.9       12.3 
020727  234045  47  29.3650 N  63  18.3250 W   3.3        5.2        2.9       12.3 
020727  234045  47  29.3650 N  63  18.3250 W   3.3        5.2        2.9       12.3 
020727  234045  47  29.3650 N  63  18.3250 W   3.3        5.2        2.9       12.3 
020727  234045  47  29.3650 N  63  18.3250 W   3.3        5.2        2.9       14.5*
020727  234045  47  29.3650 N  63  18.3250 W   3.3        5.2        2.9       14.5 
020727  234047  47  29.3650 N  63  18.3230 W   3.5        5.2        2.9       14.5 
020727  234047  47  29.3650 N  63  18.3230 W   3.5        5.2        2.9       14.5 
020727  234047  47  29.3650 N  63  18.3230 W   3.5        5.2        2.9       14.5 
020727  234047  47  29.3650 N  63  18.3230 W   3.5        5.2        2.9       14.5 
020727  234047  47  29.3650 N  63  18.3230 W   3.5        5.2        2.9       14.5 
020727  234049  47  29.3640 N  63  18.3200 W   4.3        5.2        2.9       14.5 
020727  234049  47  29.3640 N  63  18.3200 W   4.3        5.2        2.9       14.5 
020727  234049  47  29.3640 N  63  18.3200 W   4.3        5.2        2.9       14.5 
020727  234049  47  29.3640 N  63  18.3200 W   4.3        5.2        2.9       14.5 
020727  234049  47  29.3640 N  63  18.3200 W   4.3        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234051  47  29.3630 N  63  18.3160 W   4.8        5.2        2.9       14.5 
020727  234053  47  29.3620 N  63  18.3120 W   5.1        5.2        2.9       14.5 
020727  234053  47  29.3620 N  63  18.3120 W   5.1        5.2        2.9       14.5 
020727  234053  47  29.3620 N  63  18.3120 W   5.1        5.2        2.9       14.5 
020727  234053  47  29.3620 N  63  18.3120 W   5.1        5.2        2.9       14.5 
020727  234053  47  29.3620 N  63  18.3120 W   5.1        5.2        2.9       14.5 
020727  234055  47  29.3610 N  63  18.3080 W   5.6        5.2        2.9       14.5 
020727  234055  47  29.3610 N  63  18.3080 W   5.6        5.2        2.9       14.5 
020727  234055  47  29.3610 N  63  18.3080 W   5.6        5.2        2.9       14.5 
020727  234055  47  29.3610 N  63  18.3080 W   5.6        5.2        2.9       14.5 
020727  234055  47  29.3610 N  63  18.3080 W   5.6        5.2        2.9       14.5 
020727  234055  47  29.3610 N  63  18.3080 W   5.6        5.2        2.9       14.5 
020727  234057  47  29.3600 N  63  18.3040 W   5.7        5.2        2.9       14.5 
020727  234057  47  29.3600 N  63  18.3040 W   5.7        5.2        2.9       14.5 
020727  234057  47  29.3600 N  63  18.3040 W   5.7        5.2        2.9       14.5 
020727  234057  47  29.3600 N  63  18.3040 W   5.7        5.2        2.9       14.5 
020727  234057  47  29.3600 N  63  18.3040 W   5.7        5.2        2.9       14.5 
020727  234059  47  29.3590 N  63  18.3000 W   6.2        5.2        2.9       14.5 
020727  234059  47  29.3590 N  63  18.3000 W   6.2        5.2        2.9       14.5 
020727  234059  47  29.3590 N  63  18.3000 W   6.2        5.2        2.9       14.5 
020727  234059  47  29.3590 N  63  18.3000 W   6.2        5.2        2.9       14.5 
020727  234059  47  29.3590 N  63  18.3000 W   6.2        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234101  47  29.3570 N  63  18.2950 W   6.5        5.2        2.9       14.5 
020727  234103  47  29.3560 N  63  18.2900 W   6.9        5.2        2.9       14.5 
020727  234103  47  29.3560 N  63  18.2900 W   6.9        5.2        2.9       14.5 
020727  234103  47  29.3560 N  63  18.2900 W   6.9        5.2        2.9       14.5 
020727  234103  47  29.3560 N  63  18.2900 W   6.9        5.2        2.9       14.5 
020727  234103  47  29.3560 N  63  18.2900 W   6.9        5.2        2.9       14.5 
020727  234105  47  29.3540 N  63  18.2850 W   7.0        5.2        2.9       14.5 
020727  234105  47  29.3540 N  63  18.2850 W   7.0        5.2        2.9       14.5 
020727  234105  47  29.3540 N  63  18.2850 W   7.0        5.2        2.9       14.5 
020727  234105  47  29.3540 N  63  18.2850 W   7.0        5.2        2.9       14.5 
020727  234105  47  29.3540 N  63  18.2850 W   7.0        5.2        2.9       14.5 
020727  234105  47  29.3540 N  63  18.2850 W   7.0        5.2        2.9       14.5 
020727  234107  47  29.3530 N  63  18.2790 W   7.2        5.2        2.9       14.5 
020727  234107  47  29.3530 N  63  18.2790 W   7.2        5.2        2.9       14.5 
020727  234107  47  29.3530 N  63  18.2790 W   7.2        5.2        2.9       14.5 
020727  234107  47  29.3530 N  63  18.2790 W   7.2        5.2        2.9       14.5 
020727  234107  47  29.3530 N  63  18.2790 W   7.2        5.2        2.9       14.5 
020727  234109  47  29.3510 N  63  18.2740 W   7.5        5.2        2.9       14.5 
020727  234109  47  29.3510 N  63  18.2740 W   7.5        5.2        2.9       14.5 
020727  234109  47  29.3510 N  63  18.2740 W   7.5        5.2        2.9       14.5 
020727  234109  47  29.3510 N  63  18.2740 W   7.5        5.2        2.9       14.5 
020727  234109  47  29.3510 N  63  18.2740 W   7.5        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234111  47  29.3500 N  63  18.2680 W   7.6        5.2        2.9       14.5 
020727  234113  47  29.3480 N  63  18.2630 W   7.3        5.2        2.9       14.5 
020727  234113  47  29.3480 N  63  18.2630 W   7.3        5.2        2.9       14.5 
020727  234113  47  29.3480 N  63  18.2630 W   7.3        5.2        2.9       14.5 
020727  234113  47  29.3480 N  63  18.2630 W   7.3        5.2        2.9       14.5 
020727  234113  47  29.3480 N  63  18.2630 W   7.3        5.2        2.9       14.5 
020727  234115  47  29.3460 N  63  18.2570 W   7.2        5.2        2.9       14.5 
020727  234115  47  29.3460 N  63  18.2570 W   7.2        5.2        2.9       14.5 
020727  234115  47  29.3460 N  63  18.2570 W   7.2        5.2        2.9       14.5 
020727  234115  47  29.3460 N  63  18.2570 W   7.2        5.2        2.9       14.5 
020727  234115  47  29.3460 N  63  18.2570 W   7.2        5.2        2.9       14.5 
020727  234115  47  29.3460 N  63  18.2570 W   7.2        5.2        2.9       14.5 
020727  234117  47  29.3450 N  63  18.2520 W   7.1        5.2        2.9       14.5 
020727  234117  47  29.3450 N  63  18.2520 W   7.1        5.2        2.9       14.5 
020727  234117  47  29.3450 N  63  18.2520 W   7.1        5.2        2.9       14.5 
020727  234117  47  29.3450 N  63  18.2520 W   7.1        5.2        2.9       14.5 
020727  234117  47  29.3450 N  63  18.2520 W   7.1        5.2        2.9       14.5 
020727  234119  47  29.3430 N  63  18.2460 W   7.1        5.2        2.9       14.5 
020727  234119  47  29.3430 N  63  18.2460 W   7.1        5.2        2.9       14.5 
020727  234119  47  29.3430 N  63  18.2460 W   7.1        5.2        2.9       14.5 
020727  234119  47  29.3430 N  63  18.2460 W   7.1        5.2        2.9       14.5 
020727  234119  47  29.3430 N  63  18.2460 W   7.1        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234121  47  29.3420 N  63  18.2410 W   6.9        5.2        2.9       14.5 
020727  234123  47  29.3400 N  63  18.2360 W   6.9        5.2        2.9       14.5 
020727  234123  47  29.3400 N  63  18.2360 W   6.9        5.2        2.9       14.5 
020727  234123  47  29.3400 N  63  18.2360 W   6.9        5.2        2.9       14.5 
020727  234123  47  29.3400 N  63  18.2360 W   6.9        5.2        2.9       14.5 
020727  234123  47  29.3400 N  63  18.2360 W   6.9        5.2        2.9       14.5 
020727  234125  47  29.3390 N  63  18.2300 W   7.0        5.2        2.9       14.5 
020727  234125  47  29.3390 N  63  18.2300 W   7.0        5.2        2.9       14.5 
020727  234125  47  29.3390 N  63  18.2300 W   7.0        5.2        2.9       14.5 
020727  234125  47  29.3390 N  63  18.2300 W   7.0        5.2        2.9       14.5 
020727  234125  47  29.3390 N  63  18.2300 W   7.0        5.2        2.9       14.5 
020727  234125  47  29.3390 N  63  18.2300 W   7.0        5.2        2.9       14.5 
020727  234127  47  29.3380 N  63  18.2250 W   6.8        5.2        2.9       14.5 
020727  234127  47  29.3380 N  63  18.2250 W   6.8        5.2        2.9       14.5 
020727  234127  47  29.3380 N  63  18.2250 W   6.8        5.2        2.9       14.5 
020727  234127  47  29.3380 N  63  18.2250 W   6.8        5.2        2.9       14.5 
020727  234127  47  29.3380 N  63  18.2250 W   6.8        5.2        2.9       14.5 
020727  234129  47  29.3360 N  63  18.2200 W   6.8        5.2        2.9       14.5 
020727  234129  47  29.3360 N  63  18.2200 W   6.8        5.2        2.9       14.5 
020727  234129  47  29.3360 N  63  18.2200 W   6.8        5.2        2.9       14.5 
020727  234129  47  29.3360 N  63  18.2200 W   6.8        5.2        2.9       14.5 
020727  234129  47  29.3360 N  63  18.2200 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234131  47  29.3350 N  63  18.2140 W   6.8        5.2        2.9       14.5 
020727  234133  47  29.3330 N  63  18.2090 W   6.8        5.2        2.9       14.5 
020727  234133  47  29.3330 N  63  18.2090 W   6.8        5.2        2.9       14.5 
020727  234133  47  29.3330 N  63  18.2090 W   6.8        5.2        2.9       14.5 
020727  234133  47  29.3330 N  63  18.2090 W   6.8        5.2        2.9       14.5 
020727  234133  47  29.3330 N  63  18.2090 W   6.8        5.2        2.9       14.5 
020727  234135  47  29.3320 N  63  18.2040 W   6.6        5.2        2.9       14.5 
020727  234135  47  29.3320 N  63  18.2040 W   6.6        5.2        2.9       14.5 
020727  234135  47  29.3320 N  63  18.2040 W   6.6        5.2        2.9       14.5 
020727  234135  47  29.3320 N  63  18.2040 W   6.6        5.2        2.9       14.5 
020727  234135  47  29.3320 N  63  18.2040 W   6.6        5.2        2.9       14.5 
020727  234135  47  29.3320 N  63  18.2040 W   6.6        5.2        2.9       14.5 
020727  234137  47  29.3300 N  63  18.1990 W   6.8        5.2        2.9       14.5 
020727  234137  47  29.3300 N  63  18.1990 W   6.8        5.2        2.9       14.5 
020727  234137  47  29.3300 N  63  18.1990 W   6.8        5.2        2.9       14.5 
020727  234137  47  29.3300 N  63  18.1990 W   6.8        5.2        2.9       14.5 
020727  234137  47  29.3300 N  63  18.1990 W   6.8        5.2        2.9       14.5 
020727  234139  47  29.3290 N  63  18.1940 W   6.8        5.2        2.9       14.5 
020727  234139  47  29.3290 N  63  18.1940 W   6.8        5.2        2.9       14.5 
020727  234139  47  29.3290 N  63  18.1940 W   6.8        5.2        2.9       14.5 
020727  234139  47  29.3290 N  63  18.1940 W   6.8        5.2        2.9       14.5 
020727  234139  47  29.3290 N  63  18.1940 W   6.8        5.2        2.9       14.5 
020727  234141  47  29.3270 N  63  18.1890 W   6.7        5.2        2.9       14.5 
020727  234141  47  29.3270 N  63  18.1890 W   6.7        5.2        2.9       14.5 
