FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP142.TXT
Local Time: Fri Jul 26 10:34:13 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP142
Comments: ZONE PEI NORD DE LA POINTE DE L'EST
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020726  133450  46  48.2610 N  62   1.1880 W   1.9        2.7        2.2      114.8 
020726  133450  46  48.2610 N  62   1.1880 W   1.9        2.7        2.2      114.8 
020726  133450  46  48.2610 N  62   1.1880 W   1.9        2.7       11.6*     114.8 
020726  133450  46  48.2610 N  62   1.1880 W   1.9        2.7       11.6      114.8 
020726  133450  46  48.2610 N  62   1.1880 W   1.9        2.7       11.6      114.8 
020726  133452  46  48.2620 N  62   1.1890 W   2.0        2.7       11.6      114.8 
020726  133452  46  48.2620 N  62   1.1890 W   2.0        2.7       11.6      114.8 
020726  133452  46  48.2620 N  62   1.1890 W   2.0        2.7       11.6      114.8 
020726  133452  46  48.2620 N  62   1.1890 W   2.0        2.7       11.6      114.8 
020726  133452  46  48.2620 N  62   1.1890 W   2.0        2.7       11.6      114.8 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6      114.8 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6      114.8 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6      114.8 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6      114.8 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6        4.0*
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6        4.0 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6        4.0 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6        4.0 
020726  133454  46  48.2620 N  62   1.1910 W   1.9        2.7       11.6        4.0 
020726  133456  46  48.2620 N  62   1.1920 W   2.0        2.7       11.6        4.0 
020726  133456  46  48.2620 N  62   1.1920 W   2.0        2.7       11.6        4.0 
020726  133456  46  48.2620 N  62   1.1920 W   2.0        2.7       11.6        4.0 
020726  133456  46  48.2620 N  62   1.1920 W   2.0        2.7       11.6        4.0 
020726  133456  46  48.2620 N  62   1.1920 W   2.0        2.7       11.6        4.0 
020726  133458  46  48.2620 N  62   1.1940 W   2.1        2.7       11.6        4.0 
020726  133458  46  48.2620 N  62   1.1940 W   2.1        2.7       11.6        4.0 
020726  133458  46  48.2620 N  62   1.1940 W   2.1        2.7       11.6        4.0 
020726  133458  46  48.2620 N  62   1.1940 W   2.1        2.7       11.6        4.0 
020726  133458  46  48.2620 N  62   1.1940 W   2.1        2.7       11.6        4.0 
020726  133458  46  48.2620 N  62   1.1940 W   2.1        2.7       11.6        4.0 
020726  133500  46  48.2630 N  62   1.1960 W   2.0        2.7       11.6        4.8*
020726  133500  46  48.2630 N  62   1.1960 W   2.0        2.7       11.6        4.8 
020726  133500  46  48.2630 N  62   1.1960 W   2.0        2.7       11.6        4.8 
020726  133500  46  48.2630 N  62   1.1960 W   2.0        2.7       11.6        4.8 
020726  133500  46  48.2630 N  62   1.1960 W   2.0        2.7       11.6        4.8 
020726  133502  46  48.2630 N  62   1.1970 W   1.8        2.7       11.6        4.8 
020726  133502  46  48.2630 N  62   1.1970 W   1.8        2.7       11.6        4.8 
020726  133502  46  48.2630 N  62   1.1970 W   1.8        2.7       11.8*       4.8 
020726  133502  46  48.2630 N  62   1.1970 W   1.8        2.7       11.8        4.8 
020726  133502  46  48.2630 N  62   1.1970 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        4.8 
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        3.1*
020726  133504  46  48.2630 N  62   1.1990 W   1.8        2.7       11.8        3.1 
020726  133506  46  48.2630 N  62   1.2000 W   1.7        2.7       11.8        3.1 
020726  133506  46  48.2630 N  62   1.2000 W   1.7        2.7       11.8        3.1 
020726  133506  46  48.2630 N  62   1.2000 W   1.7        2.7       11.8        3.1 
020726  133506  46  48.2630 N  62   1.2000 W   1.7        2.7       11.8        3.1 
020726  133506  46  48.2630 N  62   1.2000 W   1.7        2.7       11.8        3.1 
020726  133508  46  48.2640 N  62   1.2010 W   1.5        2.7       11.8        3.1 
020726  133508  46  48.2640 N  62   1.2010 W   1.5        2.7       11.8        3.1 
020726  133508  46  48.2640 N  62   1.2010 W   1.5        2.7       11.8        3.1 
020726  133508  46  48.2640 N  62   1.2010 W   1.5        2.7       11.8        3.1 
020726  133508  46  48.2640 N  62   1.2010 W   1.5        2.7       11.8        3.1 
020726  133508  46  48.2640 N  62   1.2010 W   1.5        2.7       11.8        3.1 
020726  133510  46  48.2640 N  62   1.2030 W   1.3        2.7       11.8        3.1 
020726  133510  46  48.2640 N  62   1.2030 W   1.3        2.7       11.8        3.1 
020726  133510  46  48.2640 N  62   1.2030 W   1.3        2.7       11.8        3.5*
020726  133510  46  48.2640 N  62   1.2030 W   1.3        2.7       11.8        3.5 
020726  133510  46  48.2640 N  62   1.2030 W   1.3        2.7       11.8        3.5 
020726  133512  46  48.2640 N  62   1.2040 W   1.4        2.7       11.8        3.5 
020726  133512  46  48.2640 N  62   1.2040 W   1.4        2.7       11.8        3.5 
020726  133512  46  48.2640 N  62   1.2040 W   1.4        2.7       11.8        3.5 
020726  133512  46  48.2640 N  62   1.2040 W   1.4        2.7       11.8        3.5 
020726  133512  46  48.2640 N  62   1.2040 W   1.4        2.7       11.8        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.8        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.8        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2*       3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2        3.5 
020726  133514  46  48.2640 N  62   1.2050 W   1.2        2.7       11.2        5.7*
020726  133516  46  48.2640 N  62   1.2060 W   1.1        2.7       11.2        5.7 
020726  133516  46  48.2640 N  62   1.2060 W   1.1        2.7       11.2        5.7 
020726  133516  46  48.2640 N  62   1.2060 W   1.1        2.7       11.2        5.7 
020726  133516  46  48.2640 N  62   1.2060 W   1.1        2.7       11.2        5.7 
020726  133516  46  48.2640 N  62   1.2060 W   1.1        2.7       11.2        5.7 
020726  133518  46  48.2640 N  62   1.2070 W   1.2        2.7       11.2        5.7 
020726  133518  46  48.2640 N  62   1.2070 W   1.2        2.7       11.2        5.7 
020726  133518  46  48.2640 N  62   1.2070 W   1.2        2.7       11.2        5.7 
020726  133518  46  48.2640 N  62   1.2070 W   1.2        2.7       11.2        5.7 
020726  133518  46  48.2640 N  62   1.2070 W   1.2        2.7       11.2        5.7 
020726  133518  46  48.2640 N  62   1.2070 W   1.2        2.7       11.2        5.7 
020726  133520  46  48.2640 N  62   1.2080 W   1.2        2.7       11.2        5.7 
020726  133520  46  48.2640 N  62   1.2080 W   1.2        2.7       11.2        5.7 
020726  133520  46  48.2640 N  62   1.2080 W   1.2        2.7       11.2        5.7 
020726  133520  46  48.2640 N  62   1.2080 W   1.2        2.7       11.2        7.0*
020726  133520  46  48.2640 N  62   1.2080 W   1.2        2.7       11.2        7.0 
020726  133522  46  48.2640 N  62   1.2090 W   1.2        2.7       11.2        7.0 
020726  133522  46  48.2640 N  62   1.2090 W   1.2        2.7       11.2        7.0 
020726  133522  46  48.2640 N  62   1.2090 W   1.2        2.7       11.2        7.0 
020726  133522  46  48.2640 N  62   1.2090 W   1.2        2.7       11.2        7.0 
020726  133522  46  48.2640 N  62   1.2090 W   1.2        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133524  46  48.2650 N  62   1.2100 W   1.4        2.7       11.2        7.0 
020726  133526  46  48.2650 N  62   1.2110 W   1.3        2.7       11.2        7.0 
020726  133526  46  48.2650 N  62   1.2110 W   1.3        2.7       11.2        7.0 
020726  133526  46  48.2650 N  62   1.2110 W   1.3        2.7       11.6*       4.8*
020726  133526  46  48.2650 N  62   1.2110 W   1.3        2.7       11.6        4.8 
020726  133526  46  48.2650 N  62   1.2110 W   1.3        2.7       11.6        4.8 
020726  133528  46  48.2650 N  62   1.2120 W   1.2        2.7       11.6        4.8 
020726  133528  46  48.2650 N  62   1.2120 W   1.2        2.7       11.6        4.8 
020726  133528  46  48.2650 N  62   1.2120 W   1.2        2.7       11.6        4.8 
020726  133528  46  48.2650 N  62   1.2120 W   1.2        2.7       11.6        4.8 
020726  133528  46  48.2650 N  62   1.2120 W   1.2        2.7       11.6        4.8 
020726  133528  46  48.2650 N  62   1.2120 W   1.2        2.7       11.6        4.8 
020726  133530  46  48.2650 N  62   1.2130 W   1.3        2.7       11.6        4.8 
020726  133530  46  48.2650 N  62   1.2130 W   1.3        2.7       11.6        4.8 
020726  133530  46  48.2650 N  62   1.2130 W   1.3        2.7       11.6        4.8 
020726  133530  46  48.2650 N  62   1.2130 W   1.3        2.7       11.6        4.8 
020726  133530  46  48.2650 N  62   1.2130 W   1.3        2.7       11.6        4.8 
020726  133532  46  48.2650 N  62   1.2140 W   1.3        2.7       11.6        4.8 
020726  133532  46  48.2650 N  62   1.2140 W   1.3        2.7       11.6        4.8 
020726  133532  46  48.2650 N  62   1.2140 W   1.3        2.7       11.6        4.8 
020726  133532  46  48.2650 N  62   1.2140 W   1.3        2.7       11.6        4.8 
020726  133532  46  48.2650 N  62   1.2140 W   1.3        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133534  46  48.2650 N  62   1.2150 W   1.2        2.7       11.6        4.8 
020726  133536  46  48.2650 N  62   1.2170 W   1.3        2.7       11.6        4.8 
020726  133536  46  48.2650 N  62   1.2170 W   1.3        2.7       11.6        4.8 
020726  133536  46  48.2650 N  62   1.2170 W   1.3        2.7       11.6        4.8 
020726  133536  46  48.2650 N  62   1.2170 W   1.3        2.7       11.6        4.8 
020726  133536  46  48.2650 N  62   1.2170 W   1.3        2.7       11.6        4.8 
020726  133538  46  48.2650 N  62   1.2180 W   1.3        2.7       11.6        4.8 
