FileName: C:\2005CA~1\CTY0302.TXT
Local Time: Thu Oct 06 18:20:47 2005

Ship: Marco Michel Trip: 01 Tow: cty0302
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  212435  47  25.9020 N  62  32.9310 W   1.6        4.2        2.7        4.0        4.1       71.6*
051006  212437  47  25.9010 N  62  32.9330 W   2.3        4.2        2.7        4.7*       3.6*      71.6 
051006  212439  47  25.9010 N  62  32.9340 W   1.6        4.2        2.7        4.7        3.6       73.4*
051006  212441  47  25.9000 N  62  32.9350 W   2.3        4.2        3.0*       4.0*       4.9*      73.4 
051006  212443  47  25.8990 N  62  32.9370 W   1.8        4.2        3.0        4.0        4.9       73.4 
051006  212445  47  25.8980 N  62  32.9380 W   1.6        4.2        3.0        4.0        4.9       78.6*
051006  212447  47  25.8980 N  62  32.9390 W   2.7        4.4*       3.0        4.4*       5.0*      78.6 
051006  212449  47  25.8970 N  62  32.9400 W   1.2        4.4        3.0        4.4        5.0       78.6 
051006  212451  47  25.8960 N  62  32.9410 W   2.7        4.4        3.0        4.4        5.0       79.1*
051006  212453  47  25.8950 N  62  32.9430 W   1.8        4.4        3.0        3.8*       5.0       79.1 
051006  212455  47  25.8950 N  62  32.9440 W   1.8        4.4        3.0        3.8        5.0       78.6*
051006  212457  47  25.8940 N  62  32.9450 W   2.5        4.4        3.0        4.1*      10.9*      78.6 
051006  212459  47  25.8930 N  62  32.9470 W   1.4        4.4       12.5*       4.1       10.9       78.6 
051006  212501  47  25.8920 N  62  32.9480 W   2.6        4.4       12.5        4.1       10.9       78.2*
051006  212503  47  25.8910 N  62  32.9490 W   2.0        4.4       12.5        4.5*       5.6*      78.2 
051006  212505  47  25.8900 N  62  32.9500 W   1.8        4.4       12.5        4.5        5.6       78.2 
051006  212507  47  25.8900 N  62  32.9510 W   2.7        4.4       12.5        4.0*       3.1*      77.8*
051006  212509  47  25.8890 N  62  32.9530 W   1.7        4.4       12.5        4.0        3.1       77.8 
051006  212511  47  25.8880 N  62  32.9540 W   2.3        4.4       12.5        4.0        3.1      109.8*
051006  212513  47  25.8870 N  62  32.9560 W   2.3        4.4       12.5        4.6*       5.4*     109.8 
051006  212515  47  25.8860 N  62  32.9560 W   2.1        4.4       12.5        4.6        5.4      109.8 
051006  212517  47  25.8850 N  62  32.9580 W   2.2        4.4       12.5        4.6*       4.2*      55.4*
051006  212519  47  25.8850 N  62  32.9590 W   1.9        4.4       12.5        4.6        4.2       55.4 
051006  212521  47  25.8840 N  62  32.9600 W   2.3        4.4       12.5        4.6        4.2       55.4 
051006  212523  47  25.8830 N  62  32.9620 W   1.5        4.4       11.1*       4.7*       9.3*      80.4*
051006  212525  47  25.8820 N  62  32.9630 W   2.4        4.4       11.1        4.7        9.3       80.4 
