FileName: C:\2005CA~1\CTY0111.TXT
Local Time: Wed Oct 05 19:56:01 2005

Ship: Marco Michel Trip: 01 Tow: cty0111
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051005  225851  47  31.1950 N  62  46.9590 W   3.7        2.5        4.5        5.0        8.0       30.3 
051005  225854  47  31.1940 N  62  46.9620 W   2.5        2.5        4.5        5.0*       8.0       30.3 
051005  225855  47  31.1940 N  62  46.9630 W   2.6        2.5        4.5        5.0        8.0*      35.6*
051005  225857  47  31.1930 N  62  46.9650 W   2.1        2.5        4.5        4.7*       8.0       35.6 
051005  225900  47  31.1920 N  62  46.9660 W   2.0        2.5        4.5        4.7        8.0       35.6 
051005  225901  47  31.1920 N  62  46.9670 W   1.7        2.5        4.5        4.7        8.0*      55.4*
051005  225903  47  31.1910 N  62  46.9680 W   1.9        2.5        4.5        5.4*       8.0       55.4 
051005  225906  47  31.1910 N  62  46.9700 W   1.4        2.5        4.5        5.4       12.9*      48.3*
051005  225907  47  31.1900 N  62  46.9710 W   1.7        2.5        4.5        4.4*      12.9       48.3 
051005  225909  47  31.1890 N  62  46.9720 W   1.2        2.5        4.5        4.4       12.9       48.3 
051005  225912  47  31.1880 N  62  46.9730 W   1.5        2.5       12.0*       4.4       12.9       33.8*
051005  225913  47  31.1880 N  62  46.9730 W   1.2        2.5       12.0        5.0*      12.9       33.8 
051005  225915  47  31.1880 N  62  46.9740 W   1.3        2.5       12.0        5.0       12.9       33.8 
051005  225918  47  31.1870 N  62  46.9750 W   1.1        2.5        2.4*       5.0       12.9       38.2*
051005  225919  47  31.1870 N  62  46.9760 W   1.3        2.5        2.4        4.5*      12.9       38.2 
051005  225921  47  31.1860 N  62  46.9770 W   0.8        2.5        2.4        4.5        4.4*      47.9*
051005  225924  47  31.1860 N  62  46.9780 W   1.3        3.4*       2.4        4.4*       4.4       47.9 
051005  225925  47  31.1860 N  62  46.9780 W   1.1        3.4        2.4        4.4        4.4       47.9 
051005  225927  47  31.1850 N  62  46.9780 W   1.2        3.4        2.4        4.4        4.8*      48.8*
051005  225930  47  31.1850 N  62  46.9800 W   1.3        3.4        3.1*       4.6*       4.8       48.8 
051005  225931  47  31.1850 N  62  46.9800 W   0.9        3.4        3.1        4.6        4.7*      48.8 
051005  225933  47  31.1840 N  62  46.9810 W   1.5        3.4        3.1        4.6        4.7       54.0*
051005  225936  47  31.1830 N  62  46.9830 W   1.2        3.4        3.1        3.9*       4.7       54.0 
051005  225937  47  31.1830 N  62  46.9830 W   1.3        3.3*       3.1        3.9        4.6*      49.6*
