FileName: C:\2005CA~1\CTY0242.TXT
Local Time: Thu Oct 06 14:39:26 2005

Ship: Marco Michel Trip: 01 Tow: cty0242
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  174808  47  25.7830 N  62  32.7540 W   1.6        3.7        2.5        3.5       14.1       72.0*
051006  174810  47  25.7830 N  62  32.7550 W   2.3        3.7        2.5        3.5       14.1       72.0 
051006  174812  47  25.7820 N  62  32.7570 W   1.4        3.7        2.5        3.6*      14.1       72.0 
051006  174814  47  25.7820 N  62  32.7570 W   2.4        3.7        2.5        3.6       14.1       79.1*
051006  174816  47  25.7810 N  62  32.7590 W   2.1        3.7        2.5        3.6       14.1       79.1 
051006  174818  47  25.7800 N  62  32.7600 W   1.7        3.7        2.5        4.8*      11.7*      79.1*
051006  174820  47  25.7790 N  62  32.7620 W   2.6        3.3*       2.5        4.8       11.7       79.1 
051006  174822  47  25.7780 N  62  32.7640 W   1.3        3.3        2.5        4.7*      11.7       79.1 
051006  174824  47  25.7780 N  62  32.7640 W   2.6        3.3        2.5        4.7       67.5*      79.1*
051006  174826  47  25.7770 N  62  32.7660 W   2.0        3.3        2.5        4.7       67.5       79.1 
051006  174828  47  25.7760 N  62  32.7670 W   1.9        3.3        2.5        5.1*      16.8*      79.1 
051006  174830  47  25.7760 N  62  32.7690 W   2.7        3.3        2.5        5.1       16.8       80.0*
051006  174832  47  25.7750 N  62  32.7700 W   1.6        3.3        2.5        5.4*      16.8       80.0 
051006  174834  47  25.7750 N  62  32.7710 W   2.2        3.3        2.5        5.4        1.4*      80.0 
051006  174836  47  25.7740 N  62  32.7730 W   1.6        3.3        2.5        5.4        1.4       80.4*
