FileName: C:\TESTNE~1\GP247F.TXT
Local Time: Fri Sep 10 17:28:04 2010

Ship: September 10, 2010 Trip: GP247F Tow: 09
Comments: Zone 19 bay st lawrence
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100910  203005  47   4.3722 N  60  30.0063 W   7.5        3.2        9.2        8.4        0.4 
100910  203006  47   4.3710 N  60  30.0038 W   7.5        3.2        9.2        8.4        0.4 
100910  203007  47   4.3698 N  60  30.0012 W   7.6        3.2        9.2        8.4        0.4 
100910  203008  47   4.3685 N  60  29.9987 W   7.6        3.2        9.2        8.4        0.4 
100910  203009  47   4.3672 N  60  29.9962 W   7.6        3.2        9.2        8.4        0.4 
100910  203010  47   4.3660 N  60  29.9936 W   7.6        3.2        9.2        8.4        0.4 
100910  203011  47   4.3649 N  60  29.9910 W   7.6        3.2        9.2        8.4        0.4 
100910  203012  47   4.3637 N  60  29.9885 W   7.6        3.2        9.2        8.4        0.4 
100910  203013  47   4.3625 N  60  29.9860 W   7.5        3.2        9.2        8.4        0.4 
100910  203014  47   4.3611 N  60  29.9836 W   7.5        3.2        9.2        8.4        0.4 
100910  203015  47   4.3599 N  60  29.9812 W   7.5        3.2        9.2        8.4        0.4 
100910  203016  47   4.3586 N  60  29.9790 W   7.5        3.2        9.2        8.4        0.4 
100910  203017  47   4.3573 N  60  29.9764 W   7.5        3.2        9.2        8.4        0.4 
100910  203018  47   4.3562 N  60  29.9739 W   7.5        3.2        9.2        8.4        0.4 
100910  203019  47   4.3550 N  60  29.9713 W   7.5        3.2        9.2        8.4        0.4 
100910  203020  47   4.3537 N  60  29.9688 W   7.5        3.2        9.2        8.4        0.4 
100910  203021  47   4.3524 N  60  29.9664 W   7.5        3.2        9.2       63.1*       0.4 
100910  203022  47   4.3512 N  60  29.9639 W   7.5        3.2        9.2       63.1        0.4 
100910  203023  47   4.3500 N  60  29.9616 W   7.5        3.2        9.2       63.1        0.4 
100910  203024  47   4.3487 N  60  29.9591 W   7.5        3.2        9.2       63.1        0.4 
100910  203025  47   4.3475 N  60  29.9567 W   7.5        3.2        9.2       63.1        0.4 
100910  203026  47   4.3462 N  60  29.9542 W   7.5        3.2        9.2       63.1        0.4 
100910  203027  47   4.3448 N  60  29.9519 W   7.5        3.2        9.2       63.1        0.4 
100910  203028  47   4.3435 N  60  29.9496 W   7.5        3.2        9.2       63.1      392.8*
100910  203029  47   4.3422 N  60  29.9472 W   7.5        3.2        9.2       63.1      392.8 
100910  203030  47   4.3409 N  60  29.9447 W   7.5        3.2        9.2       63.1      392.8 
100910  203031  47   4.3396 N  60  29.9422 W   7.5        3.2        9.2       63.1      392.8 
100910  203032  47   4.3384 N  60  29.9396 W   7.5        3.2        9.2       63.1      392.8 
100910  203033  47   4.3372 N  60  29.9370 W   7.5        3.2        9.2       63.1       37.4*
100910  203034  47   4.3359 N  60  29.9345 W   7.6        3.2        9.2       63.1       37.4 
100910  203035  47   4.3346 N  60  29.9319 W   7.6        3.2        9.2       63.1       37.4 
100910  203036  47   4.3333 N  60  29.9294 W   7.6        3.2        9.2       63.1       37.4 
100910  203037  47   4.3321 N  60  29.9269 W   7.6        3.2        9.2       63.1       37.4 
100910  203038  47   4.3308 N  60  29.9243 W   7.6        3.2        9.2       63.1       37.4 
100910  203039  47   4.3296 N  60  29.9218 W   7.6        3.2        9.2       63.1       37.4 
100910  203040  47   4.3283 N  60  29.9194 W   7.6        3.2        9.2       63.1       37.4 
100910  203041  47   4.3271 N  60  29.9169 W   7.6        3.2        9.2       63.1       37.4 
100910  203042  47   4.3258 N  60  29.9144 W   7.6        3.2        9.2       74.8*      37.4 
100910  203043  47   4.3246 N  60  29.9118 W   7.6        3.2        9.2       74.8       37.4 
100910  203044  47   4.3232 N  60  29.9093 W   7.6        3.2        9.2       74.8       37.4 
100910  203045  47   4.3218 N  60  29.9070 W   7.6        3.2        9.2       74.8       37.4 
100910  203046  47   4.3204 N  60  29.9046 W   7.7        3.2        9.2       74.8       37.4 
100910  203047  47   4.3191 N  60  29.9020 W   7.7        3.2        9.2       74.8       37.4 
100910  203048  47   4.3179 N  60  29.8996 W   7.7        3.2        9.2       74.8       37.4 
100910  203049  47   4.3166 N  60  29.8970 W   7.7        3.2        9.2      123.2*      37.4 
100910  203050  47   4.3154 N  60  29.8945 W   7.7        3.2        9.2      123.2       37.4 
100910  203051  47   4.3141 N  60  29.8919 W   7.7        3.2        9.2      123.2       37.4 
100910  203052  47   4.3128 N  60  29.8893 W   7.7        3.2        9.2      123.2       37.4 
100910  203053  47   4.3117 N  60  29.8868 W   7.7        3.2        9.2      123.2       37.4 
100910  203054  47   4.3104 N  60  29.8843 W   7.7        3.2        9.2      123.2       37.4 
100910  203055  47   4.3091 N  60  29.8817 W   7.7        3.2        9.2      123.2       37.4 
100910  203056  47   4.3079 N  60  29.8791 W   7.7        3.2        9.2      123.2       37.4 
100910  203057  47   4.3068 N  60  29.8765 W   7.7        3.2        9.2      123.2       37.4 
100910  203058  47   4.3058 N  60  29.8739 W   7.7        3.2        9.2      123.2       37.4 
100910  203059  47   4.3047 N  60  29.8713 W   7.7        3.2        9.2      123.2       37.4 
100910  203100  47   4.3035 N  60  29.8686 W   7.7        3.2        9.2      123.2       37.4 
100910  203101  47   4.3023 N  60  29.8660 W   7.7        3.2        9.2      123.2       37.4 
100910  203102  47   4.3011 N  60  29.8634 W   7.8        3.2        9.2      123.2       37.4 
100910  203103  47   4.3000 N  60  29.8607 W   7.8        3.2        9.2      123.2       37.4 
100910  203104  47   4.2990 N  60  29.8580 W   7.8        3.2        9.2      123.2       37.4 
100910  203105  47   4.2981 N  60  29.8552 W   7.7        3.2        9.2      123.2       37.4 
100910  203106  47   4.2971 N  60  29.8526 W   7.7        3.2        9.2      123.2       37.4 
100910  203107  47   4.2960 N  60  29.8501 W   7.7        3.2        9.2      123.2       37.4 
100910  203108  47   4.2948 N  60  29.8474 W   7.7        3.2        9.2      123.2       37.4 
100910  203109  47   4.2937 N  60  29.8447 W   7.7        3.2        9.2      123.2       37.4 
100910  203110  47   4.2927 N  60  29.8420 W   7.7        3.2        9.2      123.2       37.4 
100910  203111  47   4.2916 N  60  29.8393 W   7.6        3.2        9.2      123.2       37.4 
100910  203112  47   4.2907 N  60  29.8366 W   7.7        3.2        9.2      123.2       37.4 
100910  203113  47   4.2897 N  60  29.8338 W   7.6        3.2        9.2      123.2       37.4 
100910  203114  47   4.2887 N  60  29.8312 W   7.6        3.2        9.2      123.2       37.4 
100910  203115  47   4.2876 N  60  29.8287 W   7.6        3.2        9.2      123.2       37.4 
100910  203116  47   4.2865 N  60  29.8260 W   7.6        3.2        9.2      123.2       37.4 
100910  203117  47   4.2855 N  60  29.8233 W   7.6        3.2        9.2      123.2       37.4 
100910  203118  47   4.2845 N  60  29.8206 W   7.6        3.2        9.2      123.2       37.4 
100910  203119  47   4.2834 N  60  29.8178 W   7.6        3.2        9.2      123.2       37.4 
100910  203120  47   4.2824 N  60  29.8151 W   7.7        3.2        9.2      123.2       37.4 
100910  203121  47   4.2813 N  60  29.8125 W   7.7        3.2        9.2      123.2       37.4 
100910  203122  47   4.2804 N  60  29.8097 W   7.7        3.2        9.2      123.2       37.4 
100910  203123  47   4.2794 N  60  29.8070 W   7.7        3.2        9.2      123.2       37.4 
100910  203124  47   4.2784 N  60  29.8043 W   7.7        3.2        9.2        4.8*      37.4 
100910  203125  47   4.2774 N  60  29.8016 W   7.7        3.2        9.2        4.8       37.4 
100910  203126  47   4.2763 N  60  29.7988 W   7.7        3.2        9.2        4.8       37.4 
100910  203127  47   4.2753 N  60  29.7962 W   7.7        3.2        9.2        4.8       37.4 
100910  203128  47   4.2743 N  60  29.7933 W   7.7        3.2        9.2        4.8       37.4 
100910  203129  47   4.2734 N  60  29.7904 W   7.7        3.2        9.2        4.8       37.4 
100910  203130  47   4.2725 N  60  29.7875 W   7.7        3.2        9.2        4.8       37.4 
