% Instrument type = SBE56
% Serial Number = 05607477
% Firmware Version = SBE56 V0.96
% Conversion Date = 2018-09-12
% Source file = C:\Users\Temp\Desktop\MINILOG 2018\test\anchor outside 19 2017\SBE05607477_2018-09-12.xml
% Calibration Date = 2017-01-27
% Coefficients: 
%       A0 = -1.295961E-3
%       A1 = 3.416024E-4
%       A2 = -5.879263E-6
%       A3 = 1.880126E-7
"Date","Time","Temperature"
"2017-08-24","20:07:02","25.1981"
"2017-08-24","21:07:02","24.9845"
"2017-08-24","22:07:02","24.8082"
"2017-08-24","23:07:02","24.4806"
"2017-08-25","00:07:02","24.0233"
"2017-08-25","01:07:02","23.6518"
"2017-08-25","02:07:02","23.4494"
"2017-08-25","03:07:02","23.2375"
"2017-08-25","04:07:02","23.0797"
"2017-08-25","05:07:02","22.9622"
"2017-08-25","06:07:02","22.9229"
"2017-08-25","07:07:02","22.6219"
"2017-08-25","08:07:02","22.5122"
"2017-08-25","09:07:02","22.5335"
"2017-08-25","10:07:02","22.6107"
"2017-08-25","11:07:02","22.6792"
"2017-08-25","12:07:02","22.6004"
"2017-08-25","13:07:02","22.5590"
"2017-08-25","14:07:02","22.5967"
"2017-08-25","15:07:02","22.6793"
"2017-08-25","16:07:02","23.0757"
"2017-08-25","17:07:02","23.3911"
"2017-08-25","18:07:02","23.6287"
"2017-08-25","19:07:02","23.8874"
"2017-08-25","20:07:02","24.0107"
"2017-08-25","21:07:02","23.9982"
"2017-08-25","22:07:02","23.9014"
"2017-08-25","23:07:02","23.6358"
"2017-08-26","00:07:02","23.2984"
"2017-08-26","01:07:02","22.9101"
"2017-08-26","02:07:02","22.5446"
"2017-08-26","03:07:02","22.1760"
"2017-08-26","04:07:02","21.8129"
"2017-08-26","05:07:02","21.4426"
"2017-08-26","06:07:02","21.3536"
"2017-08-26","07:07:02","21.3113"
"2017-08-26","08:07:02","21.2953"
"2017-08-26","09:07:02","21.3535"
"2017-08-26","10:07:02","21.4403"
"2017-08-26","11:07:02","21.5296"
"2017-08-26","12:07:02","21.5278"
"2017-08-26","13:07:02","21.4072"
"2017-08-26","14:07:02","21.4634"
"2017-08-26","15:07:02","21.4314"
"2017-08-26","16:07:02","21.4067"
"2017-08-26","17:07:02","21.2548"
"2017-08-26","18:07:02","21.1460"
"2017-08-26","19:07:02","21.0862"
"2017-08-26","20:07:02","20.9420"
"2017-08-26","21:07:02","20.7595"
"2017-08-26","22:07:02","20.7213"
"2017-08-26","23:07:02","20.7776"
"2017-08-27","00:07:02","20.7739"
"2017-08-27","01:07:02","20.7299"
"2017-08-27","02:07:02","20.6726"
"2017-08-27","03:07:02","20.5846"
"2017-08-27","04:07:02","20.5617"
"2017-08-27","05:07:02","20.5330"
"2017-08-27","06:07:02","20.5605"
"2017-08-27","07:07:02","20.5640"
"2017-08-27","08:07:02","20.4917"
"2017-08-27","09:07:02","20.5510"
"2017-08-27","10:07:02","20.8210"
"2017-08-27","11:07:02","21.2568"
"2017-08-27","12:07:02","21.7289"
"2017-08-27","13:07:02","22.1667"
"2017-08-27","14:07:02","22.5314"
"2017-08-27","15:07:02","22.6148"
"2017-08-27","16:07:02","22.8583"
"2017-08-27","17:07:02","22.9100"
"2017-08-27","18:07:02","23.0991"
"2017-08-27","19:07:02","23.2275"
"2017-08-27","20:07:02","23.2567"
"2017-08-27","21:07:02","23.0376"
"2017-08-27","22:07:02","22.7206"
"2017-08-27","23:07:02","22.5917"
"2017-08-28","00:07:02","22.3505"
"2017-08-28","01:07:02","22.1287"
"2017-08-28","02:07:02","21.9299"
"2017-08-28","03:07:02","21.7932"
"2017-08-28","04:07:02","21.5401"
"2017-08-28","05:07:02","21.2082"
"2017-08-28","06:07:02","21.0009"
"2017-08-28","07:07:02","21.1101"
"2017-08-28","08:07:02","21.3281"
"2017-08-28","09:07:02","21.6071"
"2017-08-28","10:07:02","22.1958"
"2017-08-28","11:07:02","22.6619"
"2017-08-28","12:07:02","22.8028"
"2017-08-28","13:07:02","22.9609"
"2017-08-28","14:07:02","23.2535"
"2017-08-28","15:07:02","23.6180"
"2017-08-28","16:07:02","24.0407"
"2017-08-28","17:07:02","24.4895"
"2017-08-28","18:07:02","24.9298"
"2017-08-28","19:07:02","25.3006"
"2017-08-28","20:07:02","25.4709"
"2017-08-28","21:07:02","25.3594"
"2017-08-28","22:07:02","25.0784"
"2017-08-28","23:07:02","24.6788"
"2017-08-29","00:07:02","24.1909"
"2017-08-29","01:07:02","23.6621"
"2017-08-29","02:07:02","23.1204"
"2017-08-29","03:07:02","22.5804"
"2017-08-29","04:07:02","22.0644"
"2017-08-29","05:07:02","21.5980"
"2017-08-29","06:07:02","21.1664"
"2017-08-29","07:07:02","20.7756"
"2017-08-29","08:07:02","20.6019"
"2017-08-29","09:07:02","20.6410"
"2017-08-29","10:07:02","20.8494"
"2017-08-29","11:07:02","21.1923"
"2017-08-29","12:07:02","21.6435"
"2017-08-29","13:07:02","22.2826"
"2017-08-29","14:07:02","23.1259"
"2017-08-29","15:07:02","23.6701"
"2017-08-29","16:07:02","24.3319"
"2017-08-29","17:07:02","24.8841"
"2017-08-29","18:07:02","25.3627"
"2017-08-29","19:07:02","25.7324"
"2017-08-29","20:07:02","25.8816"
"2017-08-29","21:07:02","25.8113"
"2017-08-29","22:07:02","25.5812"
"2017-08-29","23:07:02","25.2029"
"2017-08-30","00:07:02","24.7347"
"2017-08-30","01:07:02","24.2160"
"2017-08-30","02:07:02","23.6794"
"2017-08-30","03:07:02","23.1677"
"2017-08-30","04:07:02","22.6851"
"2017-08-30","05:07:02","22.2110"
"2017-08-30","06:07:02","21.7419"
"2017-08-30","07:07:02","21.3629"
"2017-08-30","08:07:02","21.2898"
"2017-08-30","09:07:02","21.4278"
"2017-08-30","10:07:02","21.6956"
"2017-08-30","11:07:02","22.0460"
"2017-08-30","12:07:02","22.4896"
"2017-08-30","13:07:02","23.0089"
"2017-08-30","14:07:02","23.5121"
"2017-08-30","15:07:02","23.9697"
"2017-08-30","16:07:02","24.4237"
"2017-08-30","17:07:02","24.8502"
"2017-08-30","18:07:02","25.1922"
"2017-08-30","19:07:02","25.3681"
"2017-08-30","20:07:02","25.3288"
"2017-08-30","21:07:02","25.1648"
"2017-08-30","22:07:02","24.9690"
"2017-08-30","23:07:02","24.7532"
"2017-08-31","00:07:02","24.5011"
"2017-08-31","01:07:02","24.2170"
"2017-08-31","02:07:02","23.9133"
"2017-08-31","03:07:02","23.6074"
"2017-08-31","04:07:02","23.3093"
"2017-08-31","05:07:02","23.0186"
"2017-08-31","06:07:02","22.7667"
"2017-08-31","07:07:02","22.5428"
"2017-08-31","08:07:02","22.3478"
"2017-08-31","09:07:02","22.2014"
"2017-08-31","10:07:02","22.0640"
"2017-08-31","11:07:02","21.9609"
"2017-08-31","12:07:02","21.9458"
"2017-08-31","13:07:02","21.8998"
"2017-08-31","14:07:02","21.9227"
"2017-08-31","15:07:02","22.0074"
"2017-08-31","16:07:02","22.2293"
"2017-08-31","17:07:02","22.7658"
"2017-08-31","18:07:02","23.1884"
"2017-08-31","19:07:02","23.4740"
"2017-08-31","20:07:02","23.6364"
"2017-08-31","21:07:02","23.6448"
"2017-08-31","22:07:02","23.5560"
"2017-08-31","23:07:02","23.4133"
"2017-09-01","00:07:02","23.2577"
"2017-09-01","01:07:02","23.0914"
"2017-09-01","02:07:02","22.8762"
"2017-09-01","03:07:02","22.6018"
