FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP353FR.TXT
Local Time: Mon Sep 10 17:16:36 2007

Ship: Trawl survey southern Gulf Trip: GP353Fr Tow: tow 11
Comments: Zone 12 - Île du Prince Édouard
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070910  201634  46  34.2621 N  62  34.7763 W   8.0       10.0*      11.7*       3.9*     -36.1*
070910  201808  46  34.0942 N  62  34.8423 W   8.2        3.2       11.7        4.2       39.6 
070910  201809  46  34.0920 N  62  34.8431 W   8.1        3.2       11.7        4.2       39.6 
070910  201810  46  34.0898 N  62  34.8438 W   8.2        3.2       11.7        4.2       39.6 
070910  201811  46  34.0875 N  62  34.8444 W   8.2        3.2       11.7        4.2       39.6 
070910  201812  46  34.0853 N  62  34.8450 W   8.2        3.2       11.7        4.2       39.6 
070910  201813  46  34.0831 N  62  34.8457 W   8.2        3.2       11.7        4.2       39.6 
070910  201814  46  34.0809 N  62  34.8463 W   8.2        3.2       11.7        4.2       39.6 
070910  201815  46  34.0787 N  62  34.8469 W   8.2        3.2       11.7        4.2       39.6 
070910  201816  46  34.0764 N  62  34.8477 W   8.2        3.2       11.7        4.2       39.6 
070910  201817  46  34.0742 N  62  34.8484 W   8.2        3.2       11.7        4.2       39.6 
070910  201818  46  34.0719 N  62  34.8490 W   8.2        3.2       11.7        4.2       39.6 
070910  201819  46  34.0697 N  62  34.8497 W   8.2        3.2       11.7        4.2       39.6 
070910  201820  46  34.0674 N  62  34.8503 W   8.2        3.2       11.7        4.2       39.6 
070910  201821  46  34.0652 N  62  34.8510 W   8.2        3.2       11.7        4.2       39.6 
070910  201822  46  34.0629 N  62  34.8518 W   8.2        3.2       11.7        4.2       39.6 
070910  201823  46  34.0607 N  62  34.8526 W   8.2        3.2       11.7        4.2       39.6 
070910  201824  46  34.0585 N  62  34.8534 W   8.2        3.2       11.7        4.2       39.6 
070910  201825  46  34.0564 N  62  34.8541 W   8.1        3.2       11.7        4.2       39.6 
070910  201826  46  34.0543 N  62  34.8548 W   8.1        3.2       11.7        4.2       39.6 
070910  201827  46  34.0521 N  62  34.8555 W   8.0        3.2       10.4*       4.2       39.6 
070910  201828  46  34.0501 N  62  34.8563 W   8.0        3.2       10.4        4.2       39.6 
070910  201829  46  34.0480 N  62  34.8569 W   7.9        3.2       10.4        4.2       39.6 
070910  201830  46  34.0460 N  62  34.8576 W   7.8        3.2       10.4        8.2*      39.6 
070910  201831  46  34.0440 N  62  34.8584 W   7.8        3.2       10.4        8.2       39.6 
070910  201832  46  34.0420 N  62  34.8593 W   7.7        3.2       10.4        8.2       39.6 
070910  201833  46  34.0400 N  62  34.8600 W   7.6        3.2       10.4        8.2       39.6 
070910  201834  46  34.0381 N  62  34.8607 W   7.5        3.2       10.4        8.2       39.6 
070910  201835  46  34.0363 N  62  34.8613 W   7.4        3.2       10.4        8.2       39.6 
070910  201836  46  34.0344 N  62  34.8619 W   7.3        3.2       10.4        8.2       39.6 
070910  201837  46  34.0325 N  62  34.8626 W   7.3        3.2       10.4        8.2       39.6 
070910  201838  46  34.0307 N  62  34.8634 W   7.2        3.2       10.4        8.2       39.6 
070910  201839  46  34.0288 N  62  34.8641 W   7.2        3.2       10.4        8.2       39.6 
070910  201840  46  34.0270 N  62  34.8647 W   7.1        3.2       10.4        8.2       39.6 
070910  201841  46  34.0252 N  62  34.8652 W   7.1        3.2       10.4        8.2       39.6 
070910  201842  46  34.0235 N  62  34.8658 W   6.9        3.2       10.4        8.2       39.6 
070910  201843  46  34.0219 N  62  34.8663 W   6.8        3.2       10.4        8.2       39.6 
070910  201844  46  34.0204 N  62  34.8668 W   6.6        3.2       10.4        8.2       39.6 
070910  201845  46  34.0190 N  62  34.8672 W   6.4        3.2       10.4        9.4*      39.6 
070910  201846  46  34.0176 N  62  34.8677 W   6.2        3.2       10.4        9.4       39.6 
070910  201847  46  34.0162 N  62  34.8681 W   6.0        3.2       10.4        9.4       17.6*
070910  201848  46  34.0150 N  62  34.8686 W   5.8        3.2       10.4        9.4       17.6 
070910  201849  46  34.0138 N  62  34.8689 W   5.6        3.2       10.4        9.4       17.6 
070910  201850  46  34.0126 N  62  34.8692 W   5.4        3.2       10.4        9.4       17.6 
070910  201851  46  34.0115 N  62  34.8695 W   5.2        3.2       10.4        9.4       17.6 
070910  201852  46  34.0105 N  62  34.8699 W   5.0        3.2       10.4        9.4       23.8*
070910  201853  46  34.0095 N  62  34.8703 W   4.8        3.2       10.4        9.4       23.8 
070910  201854  46  34.0085 N  62  34.8706 W   4.6        3.2       10.4        9.4       23.8 
070910  201855  46  34.0075 N  62  34.8709 W   4.5        3.2       10.4        9.4       23.8 
070910  201856  46  34.0066 N  62  34.8712 W   4.3        3.2       10.4        9.4       23.8 
070910  201857  46  34.0057 N  62  34.8715 W   4.2        3.2       10.4        9.4       23.8 
070910  201858  46  34.0048 N  62  34.8717 W   4.0        3.2       10.4        9.4       18.9*
070910  201859  46  34.0039 N  62  34.8721 W   3.9        3.2       10.4        9.4       18.9 
070910  201900  46  34.0031 N  62  34.8724 W   3.8        3.2       10.4        9.4       18.9 
070910  201901  46  34.0022 N  62  34.8727 W   3.7        3.2       10.4       10.1*      18.9 
070910  201902  46  34.0014 N  62  34.8729 W   3.6        3.2       10.4       10.1       18.9 
070910  201903  46  34.0006 N  62  34.8731 W   3.5        3.2       10.9*      10.1       15.4*
070910  201904  46  33.9998 N  62  34.8734 W   3.4        3.2       10.9       10.1       15.4 
070910  201905  46  33.9991 N  62  34.8736 W   3.3        3.2       10.9       10.1       15.4 
070910  201906  46  33.9983 N  62  34.8738 W   3.2        3.2       10.9        8.9*      15.4 
070910  201907  46  33.9976 N  62  34.8741 W   3.2        3.2       10.9        8.9       15.4 
070910  201908  46  33.9968 N  62  34.8743 W   3.1        3.2       10.9        8.9       21.1*
070910  201909  46  33.9961 N  62  34.8746 W   3.1        3.2       10.9        8.9       21.1 
070910  201910  46  33.9954 N  62  34.8747 W   3.0        3.2       10.9        8.9       21.1 
070910  201911  46  33.9946 N  62  34.8749 W   3.0        3.2       10.9        7.5*      21.1 
070910  201912  46  33.9939 N  62  34.8752 W   2.9        3.2       10.9        7.5       21.1 
070910  201913  46  33.9933 N  62  34.8754 W   2.9        3.2       10.9        7.5       21.1 
070910  201914  46  33.9926 N  62  34.8757 W   2.8        3.2       10.9        7.5       25.5*
070910  201915  46  33.9919 N  62  34.8759 W   2.8        3.2       11.5*       7.5       25.5 
070910  201916  46  33.9912 N  62  34.8762 W   2.8        3.2       11.5        7.5       25.5 
070910  201917  46  33.9906 N  62  34.8764 W   2.7        3.2       11.5        7.9*      25.5 
070910  201918  46  33.9899 N  62  34.8766 W   2.7        3.2       11.5        7.9       25.5 
070910  201919  46  33.9892 N  62  34.8768 W   2.7        3.2       11.5        7.9       26.4*
070910  201920  46  33.9886 N  62  34.8770 W   2.6        3.2       11.5        7.9       26.4 
070910  201921  46  33.9880 N  62  34.8772 W   2.6        3.2       11.5        7.9       26.4 
070910  201922  46  33.9873 N  62  34.8775 W   2.6        3.2       11.5        7.8*      26.4 
070910  201923  46  33.9866 N  62  34.8777 W   2.6        3.2       11.5        7.8       26.4 
070910  201924  46  33.9860 N  62  34.8779 W   2.5        3.2       11.5        7.8       27.3*
070910  201925  46  33.9853 N  62  34.8782 W   2.5        3.2       11.5        7.8       27.3 
070910  201926  46  33.9847 N  62  34.8784 W   2.5        3.2       11.5        7.8       27.3 
070910  201927  46  33.9841 N  62  34.8786 W   2.5        3.2       10.7*      17.6*      27.3 
070910  201928  46  33.9835 N  62  34.8789 W   2.5        3.2       10.7       17.6       27.3 
070910  201929  46  33.9829 N  62  34.8791 W   2.5        3.2       10.7       17.6       27.3 
070910  201930  46  33.9822 N  62  34.8794 W   2.4        3.2       10.7       17.6       32.1*
070910  201931  46  33.9817 N  62  34.8795 W   2.4        3.2       10.7       17.6       32.1 
070910  201932  46  33.9811 N  62  34.8797 W   2.3        3.2       10.7       17.6       32.1 
070910  201933  46  33.9806 N  62  34.8799 W   2.3        3.2        2.4*       7.0*      32.1 
070910  201934  46  33.9801 N  62  34.8801 W   2.2        3.2        2.4        7.0       32.1 
070910  201935  46  33.9796 N  62  34.8803 W   2.2        3.2        2.4        7.0       33.9*
070910  201936  46  33.9791 N  62  34.8804 W   2.1        3.2        2.4        7.0       33.9 
070910  201937  46  33.9786 N  62  34.8806 W   2.1        3.2        2.4        7.0       33.9 
070910  201938  46  33.9782 N  62  34.8807 W   2.0        3.2        2.4       12.2*      33.9 
070910  201939  46  33.9777 N  62  34.8809 W   2.0        3.2        2.4       12.2       33.9 
070910  201940  46  33.9773 N  62  34.8811 W   1.9        3.2        2.4       12.2       35.6*
070910  201941  46  33.9768 N  62  34.8813 W   1.9       13.6*       2.4       12.2       35.6 
070910  201942  46  33.9762 N  62  34.8815 W   1.9       13.6        2.4       12.2       35.6 
070910  201943  46  33.9757 N  62  34.8816 W   1.9       13.6        2.4        6.2*      35.6 
070910  201944  46  33.9752 N  62  34.8818 W   1.9       13.6        2.4        6.2       35.6 
070910  201945  46  33.9747 N  62  34.8821 W   1.9       13.6        2.4        6.2       35.6 
070910  201946  46  33.9741 N  62  34.8822 W   2.0       13.6        2.4        6.2       38.7*
070910  201947  46  33.9736 N  62  34.8823 W   2.0       13.6        2.4        6.2       38.7 
070910  201948  46  33.9730 N  62  34.8825 W   2.0       13.6        2.4        7.0*      38.7 
070910  201949  46  33.9724 N  62  34.8827 W   2.0       13.6        2.4        7.0       38.7 
070910  201950  46  33.9719 N  62  34.8829 W   2.0       13.6        2.4        7.0       38.7 
070910  201951  46  33.9713 N  62  34.8831 W   2.0       13.6        2.4        7.0       39.1*
070910  201952  46  33.9707 N  62  34.8833 W   2.0       13.6        2.4        7.0       39.1 
070910  201953  46  33.9702 N  62  34.8835 W   2.0       13.6        2.4        7.0       39.1 
070910  201954  46  33.9696 N  62  34.8837 W   2.1       13.6        2.4        6.8*      39.1 
070910  201955  46  33.9690 N  62  34.8839 W   2.1       13.6        2.4        6.8       39.1 
070910  201956  46  33.9685 N  62  34.8841 W   2.1       13.6        2.4        6.8       39.1 
070910  201957  46  33.9679 N  62  34.8843 W   2.1       13.6        2.4        6.8       41.8*
070910  201958  46  33.9673 N  62  34.8844 W   2.1       13.6        2.4        6.8       41.8 
070910  201959  46  33.9667 N  62  34.8847 W   2.1       13.6        2.4        7.6*      41.8 
070910  202000  46  33.9661 N  62  34.8849 W   2.2       13.6        2.4        7.6       41.8 
070910  202001  46  33.9655 N  62  34.8851 W   2.2       13.6        2.4        7.6       41.8 
070910  202002  46  33.9650 N  62  34.8853 W   2.2       13.6        2.4        7.6       44.4*
070910  202003  46  33.9644 N  62  34.8855 W   2.2       13.6        2.4        7.6       44.4 
070910  202004  46  33.9637 N  62  34.8857 W   2.2       13.6        2.4        7.9*      44.4 
070910  202005  46  33.9631 N  62  34.8859 W   2.2       13.6       11.2*       7.9       44.4 
070910  202006  46  33.9625 N  62  34.8861 W   2.2       13.6       11.2        7.9       44.4 
070910  202007  46  33.9620 N  62  34.8863 W   2.2       13.6       11.2        7.9       44.9*
070910  202008  46  33.9614 N  62  34.8865 W   2.2       13.6       11.2        7.9       44.9 
070910  202009  46  33.9607 N  62  34.8868 W   2.3       13.6       11.2        7.9       44.9 
070910  202010  46  33.9601 N  62  34.8869 W   2.3       13.6       11.2        7.9       44.9 
070910  202011  46  33.9595 N  62  34.8871 W   2.3       13.6       11.2        7.9       44.9 
070910  202012  46  33.9589 N  62  34.8874 W   2.3       13.6       11.2        7.9       44.9 
070910  202013  46  33.9583 N  62  34.8876 W   2.3       13.6       11.2        7.9       44.4*
070910  202014  46  33.9577 N  62  34.8878 W   2.3       13.6       11.2        7.9       44.4 
070910  202015  46  33.9571 N  62  34.8882 W   2.3       13.6       11.2        7.9       44.4 
070910  202016  46  33.9565 N  62  34.8885 W   2.3       13.6       11.2        7.9       44.4 
070910  202017  46  33.9558 N  62  34.8888 W   2.3       13.6       10.9*       7.9       44.4 
070910  202018  46  33.9552 N  62  34.8891 W   2.3       13.6       10.9        7.9       44.9*
070910  202019  46  33.9546 N  62  34.8893 W   2.4       13.6       10.9        7.9       44.9 
070910  202020  46  33.9539 N  62  34.8895 W   2.4       13.6       10.9        7.9       44.9 
070910  202021  46  33.9533 N  62  34.8898 W   2.4       13.6       10.9        7.9       44.9 
070910  202022  46  33.9527 N  62  34.8901 W   2.4       13.6       10.9        7.9       44.9 
070910  202023  46  33.9521 N  62  34.8903 W   2.4       13.6       10.9        7.9       44.9 
070910  202024  46  33.9514 N  62  34.8906 W   2.4       13.6       10.9        7.9       45.7*
070910  202025  46  33.9508 N  62  34.8909 W   2.4       13.6       10.9        7.9       45.7 
070910  202026  46  33.9502 N  62  34.8912 W   2.4       13.6       10.9        7.9       45.7 
070910  202027  46  33.9496 N  62  34.8915 W   2.4       13.6       10.9        7.9       45.7 
070910  202028  46  33.9490 N  62  34.8916 W   2.4       13.6       10.9        7.9       45.7 
070910  202029  46  33.9484 N  62  34.8919 W   2.3       13.6       10.9        7.9       45.7*
070910  202030  46  33.9478 N  62  34.8921 W   2.3       13.6       10.9        7.9       45.7 
070910  202031  46  33.9473 N  62  34.8923 W   2.2       13.6       10.9        7.9       45.7 
070910  202032  46  33.9467 N  62  34.8925 W   2.2       13.6       10.9        7.9       45.7 
070910  202033  46  33.9462 N  62  34.8928 W   2.2       13.6       10.9        7.9       45.7 
070910  202034  46  33.9456 N  62  34.8930 W   2.1       13.6       10.9        7.9       45.7*
070910  202035  46  33.9450 N  62  34.8932 W   2.2       13.6       10.9        7.9       45.7 
070910  202036  46  33.9444 N  62  34.8934 W   2.2       13.6       10.9        7.9       45.7 
070910  202037  46  33.9438 N  62  34.8935 W   2.2       13.6       10.9        7.9       45.7 
070910  202038  46  33.9432 N  62  34.8936 W   2.1       13.6       10.9        7.9       45.7 
070910  202039  46  33.9427 N  62  34.8939 W   2.1       13.6       10.9        7.9       45.7 
070910  202040  46  33.9421 N  62  34.8941 W   2.2       13.6       10.9        9.2*      43.1*
070910  202041  46  33.9416 N  62  34.8943 W   2.2       13.6       10.1*       9.2       43.1 
070910  202042  46  33.9410 N  62  34.8945 W   2.2       13.6       10.1        9.2       43.1 
070910  202043  46  33.9404 N  62  34.8947 W   2.2       13.6       10.1        9.2       43.1 
070910  202044  46  33.9398 N  62  34.8949 W   2.2       13.6       10.1        9.2       43.1 
070910  202045  46  33.9393 N  62  34.8951 W   2.2       13.6       10.1       10.4*      46.6*
070910  202046  46  33.9386 N  62  34.8952 W   2.2       13.6       10.1       10.4       46.6 
070910  202047  46  33.9381 N  62  34.8955 W   2.2       13.6       10.1       10.4       46.6 
070910  202048  46  33.9375 N  62  34.8958 W   2.2       13.6       10.1       10.4       46.6 
070910  202049  46  33.9370 N  62  34.8960 W   2.2       13.6       10.1       10.4       46.6 
070910  202050  46  33.9363 N  62  34.8963 W   2.2       13.6       10.1       10.4       46.2*
070910  202051  46  33.9358 N  62  34.8966 W   2.2       13.6       10.1       11.5*      46.2 
070910  202052  46  33.9352 N  62  34.8968 W   2.2       13.6       10.1       11.5       46.2 
070910  202053  46  33.9346 N  62  34.8970 W   2.2       13.6       11.3*      11.5       46.2 
070910  202054  46  33.9339 N  62  34.8971 W   2.2       13.6       11.3       11.5       46.2 
070910  202055  46  33.9333 N  62  34.8974 W   2.2       13.6       11.3       11.5       46.2 
070910  202056  46  33.9328 N  62  34.8976 W   2.2       13.6       11.3       11.5       45.7*
070910  202057  46  33.9322 N  62  34.8978 W   2.2       13.6       11.3       11.5       45.7 
070910  202058  46  33.9316 N  62  34.8980 W   2.2       13.6       11.3       11.5       45.7 
070910  202059  46  33.9309 N  62  34.8982 W   2.2       13.6       11.3       11.5       45.7 
070910  202100  46  33.9303 N  62  34.8985 W   2.2       13.6       11.3       11.5       45.7 
070910  202101  46  33.9298 N  62  34.8987 W   2.2       13.6       11.3        8.9*      47.5*
070910  202102  46  33.9292 N  62  34.8989 W   2.2       13.6       11.3        8.9       47.5 
070910  202103  46  33.9285 N  62  34.8991 W   2.2       13.6       11.3        8.9       47.5 
070910  202104  46  33.9279 N  62  34.8993 W   2.2       13.6       11.3        8.9       47.5 
070910  202105  46  33.9273 N  62  34.8995 W   2.2       13.6       11.3*       8.9       47.5 
070910  202106  46  33.9267 N  62  34.8998 W   2.2       13.6       11.3        8.9       47.5 
070910  202107  46  33.9261 N  62  34.9000 W   2.2       13.6       11.3        8.9       44.9*
070910  202108  46  33.9255 N  62  34.9002 W   2.2       13.6       11.3        8.9       44.9 
070910  202109  46  33.9249 N  62  34.9003 W   2.2       13.6       11.3        8.9       44.9 
070910  202110  46  33.9243 N  62  34.9006 W   2.2       13.6       11.3        8.9       44.9 
070910  202111  46  33.9236 N  62  34.9008 W   2.2       13.6       11.3        8.4*      44.9 
070910  202112  46  33.9229 N  62  34.9010 W   2.3       13.6       11.3        8.4       47.9*
070910  202113  46  33.9223 N  62  34.9012 W   2.3       13.6       11.3        8.4       47.9 
070910  202114  46  33.9217 N  62  34.9014 W   2.3       13.6       11.3        8.4       47.9 
070910  202115  46  33.9210 N  62  34.9017 W   2.3       13.6       11.3        8.4       47.9 
070910  202116  46  33.9204 N  62  34.9019 W   2.3       13.6       11.3        8.4       47.9 
070910  202117  46  33.9197 N  62  34.9021 W   2.3       13.6       11.5*       8.9*      44.0*
070910  202118  46  33.9190 N  62  34.9023 W   2.3       13.6       11.5        8.9       44.0 
070910  202119  46  33.9184 N  62  34.9025 W   2.3       13.6       11.5        8.9       44.0 
070910  202120  46  33.9177 N  62  34.9027 W   2.3       13.6       11.5        8.9       44.0 
070910  202121  46  33.9170 N  62  34.9029 W   2.3       13.6       11.5        8.9       44.0 
070910  202122  46  33.9164 N  62  34.9031 W   2.3       13.6       11.5        8.3*      44.0 
070910  202123  46  33.9158 N  62  34.9034 W   2.3       13.6       11.5        8.3       44.0 
070910  202124  46  33.9153 N  62  34.9035 W   2.3       13.6       11.5        8.3       44.0 
070910  202125  46  33.9146 N  62  34.9037 W   2.3       13.6       11.5        8.3       44.0 
070910  202126  46  33.9140 N  62  34.9039 W   2.2       13.6       11.5        8.3       44.0 
070910  202127  46  33.9134 N  62  34.9041 W   2.2       13.6       11.5        7.9*      44.0 
070910  202128  46  33.9128 N  62  34.9042 W   2.1       13.6       11.5        7.9       44.0 
070910  202129  46  33.9123 N  62  34.9044 W   2.1       13.6       11.5        7.9       44.0 
070910  202130  46  33.9117 N  62  34.9046 W   2.1       13.6       11.5        7.9       44.0 
070910  202131  46  33.9112 N  62  34.9048 W   2.1       13.6       11.5        7.9       44.0 
070910  202132  46  33.9107 N  62  34.9049 W   2.0       13.6       11.5        7.8*      44.0 
070910  202133  46  33.9100 N  62  34.9052 W   2.0       13.6       11.5        7.8       44.0 
070910  202134  46  33.9094 N  62  34.9053 W   2.0       13.6       11.5        7.8       44.0 
