FileName: C:\2005SE~1\SEL0072.TXT
Local Time: Thu Oct 13 11:13:18 2005

Ship: Marco Michel Trip: 01 Tow: sel0072
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051013  141844  46  43.6890 N  61   3.0770 W   2.0        8.0        2.3        0.0        6.2*     123.0 
051013  141846  46  43.6880 N  61   3.0770 W   1.8        8.0        2.3        0.0        6.2      123.0 
051013  141848  46  43.6870 N  61   3.0780 W   2.0        8.0        2.4*       0.0        6.2      123.9*
051013  141850  46  43.6860 N  61   3.0780 W   1.9        8.0        2.4        0.0       13.3*     123.9 
051013  141852  46  43.6840 N  61   3.0790 W   1.6        8.0        2.4        0.0       13.3      123.9 
051013  141854  46  43.6830 N  61   3.0800 W   2.0        3.4*       2.4        0.0        0.0*     126.5*
051013  141856  46  43.6820 N  61   3.0810 W   1.7        3.4        2.4        0.0        0.0      126.5 
051013  141858  46  43.6810 N  61   3.0810 W   1.7        3.4        2.4        0.0        0.0      126.5 
051013  141900  46  43.6800 N  61   3.0820 W   2.0        3.4        2.4        0.0        6.8*     123.5*
051013  141902  46  43.6790 N  61   3.0820 W   1.7        3.4        2.4        0.0        6.8      123.5 
051013  141904  46  43.6780 N  61   3.0830 W   1.9        3.4        2.4        0.0        6.8      127.0*
051013  141906  46  43.6770 N  61   3.0840 W   1.5        3.4       11.3*       0.0        7.4*     127.0 
051013  141908  46  43.6760 N  61   3.0840 W   1.9        3.4       11.3        0.0        7.4      127.0 
051013  141910  46  43.6750 N  61   3.0850 W   1.9        3.4       11.3        0.0        8.2*     126.1*
051013  141912  46  43.6730 N  61   3.0860 W   1.8        3.4       11.3        0.0        8.2      126.1 
051013  141914  46  43.6730 N  61   3.0850 W   1.7        3.4       11.3        0.0        8.2      126.1 
051013  141916  46  43.6720 N  61   3.0850 W   2.1        3.4       11.3        0.0        8.3*     127.0*
051013  141918  46  43.6710 N  61   3.0860 W   1.7        3.4       11.3        0.0        8.3      127.0 
051013  141920  46  43.6700 N  61   3.0860 W   1.8        3.4       11.3        0.0        7.9*     127.0 
051013  141922  46  43.6690 N  61   3.0870 W   1.8        3.4       11.3        0.0        7.9      122.1*
051013  141924  46  43.6680 N  61   3.0880 W   2.3        3.4       11.3        0.0        7.9      122.1 
051013  141926  46  43.6670 N  61   3.0880 W   1.6        3.4       11.3        0.0       11.0*     127.4*
051013  141928  46  43.6660 N  61   3.0880 W   2.2        3.4       11.3        0.0       11.0      127.4 
051013  141930  46  43.6650 N  61   3.0890 W   1.8        3.4       11.3        0.0       11.0      127.4 
051013  141932  46  43.6640 N  61   3.0900 W   1.9        3.4       11.3        0.0        9.1*     126.5*
051013  141934  46  43.6630 N  61   3.0900 W   1.8        3.4       11.3        0.0        9.1      126.5 
051013  141936  46  43.6620 N  61   3.0910 W   2.1        3.4       11.3        0.0       10.0*     126.5 
051013  141938  46  43.6610 N  61   3.0910 W   1.9        3.4       11.3        0.0       10.0      125.6*
051013  141940  46  43.6590 N  61   3.0920 W   2.1        3.4       11.3        0.0       10.0      125.6 
051013  141942  46  43.6580 N  61   3.0930 W   1.8        3.4       11.3        0.0        9.3*     125.6 
051013  141944  46  43.6570 N  61   3.0930 W   2.0        3.4       11.3        0.0        9.3      126.1*
051013  141946  46  43.6560 N  61   3.0940 W   1.9        3.4       11.3        0.0        9.3      126.1 
051013  141948  46  43.6540 N  61   3.0950 W   2.3        3.4       11.3        0.0        9.7*     142.3*
051013  141950  46  43.6530 N  61   3.0960 W   1.9        3.4       11.3        0.0        9.7      142.3 
051013  141952  46  43.6520 N  61   3.0960 W   1.9        3.4       11.3        0.0        9.8*     142.3 
051013  141954  46  43.6510 N  61   3.0960 W   2.2        3.4       11.3        0.0        9.8      112.5*
051013  141956  46  43.6500 N  61   3.0970 W   1.9        3.4       11.3        0.0        9.8      112.5 
051013  141958  46  43.6490 N  61   3.0970 W   2.0        3.4       11.3        0.0       10.1*     112.5 
051013  142000  46  43.6480 N  61   3.0970 W   2.3        3.4       11.3        0.0       10.1      123.9*
051013  142002  46  43.6470 N  61   3.0980 W   2.0        3.4       11.3        0.0       10.1      123.9 
051013  142004  46  43.6450 N  61   3.0990 W   2.2        3.4       11.3        0.0       10.3*     126.5*
051013  142006  46  43.6440 N  61   3.0990 W   1.9        3.4       11.3        0.0       10.3      126.5 
051013  142008  46  43.6430 N  61   3.1000 W   2.0        3.4       11.3        0.0        9.8*     126.5 
051013  142010  46  43.6420 N  61   3.1010 W   2.1        3.4       11.3        0.0        9.8      127.0*
051013  142012  46  43.6400 N  61   3.1010 W   2.0        3.4       11.3        0.0        9.8      127.0 
051013  142014  46  43.6390 N  61   3.1020 W   2.0        3.4       11.3        0.0       10.0*     127.0 
051013  142016  46  43.6380 N  61   3.1030 W   2.0        3.4       11.3        0.0       10.0      124.8*
051013  142018  46  43.6370 N  61   3.1030 W   1.8        3.4        9.4*       0.0       10.0      124.8 
051013  142020  46  43.6360 N  61   3.1040 W   2.3        3.4        9.4        0.0       10.1*     124.8 
051013  142022  46  43.6350 N  61   3.1040 W   1.6        3.4        9.4        0.0       10.1      127.8*
